Wavelength (nm)	CHL241_8-Vinyl ProtoChl a, THF (Mizoguchi, 2009).ems
600.78	0.0095110
602.41	0.0095110
604.20	0.012197
605.68	0.014882
607.78	0.021148
609.49	0.032785
611.05	0.040842
612.68	0.055165
613.70	0.070383
614.94	0.098133
616.34	0.12588
617.51	0.15453
618.37	0.18407
619.61	0.22793
620.55	0.27233
621.56	0.32389
622.95	0.41198
624.15	0.49147
625.35	0.58278
627.00	0.72135
628.80	0.86852
630.00	0.95875
630.80	0.99205
631.80	1.00000
632.80	0.99205
633.65	0.96824
634.79	0.88320
636.75	0.72923
638.00	0.61554
639.84	0.48395
641.25	0.39354
642.41	0.32461
643.35	0.28164
644.59	0.23509
645.91	0.19481
646.77	0.17243
648.02	0.15095
650.66	0.12141
652.84	0.10171
655.41	0.086496
657.98	0.079334
661.01	0.075754
663.97	0.078439
667.08	0.088286
670.58	0.097238
674.32	0.11335
677.04	0.12320
679.92	0.13394
683.04	0.14021
686.23	0.14021
689.81	0.13573
692.61	0.12678
695.88	0.11604
699.77	0.099028
702.02	0.085601
705.14	0.065907
707.39	0.048899
709.58	0.037261
712.06	0.028310
714.79	0.021148
717.74	0.013987
721.71	0.0074951
724.05	0.0050352
727.86	0.0021825
731.05	0.0014545
734.40	0.0014545
736.96	0.0014545
739.92	0.0014545
