Wavelength (nm)	CHL242_7-OCH3-8-vinyl ProtoChllide a, Et2O (Jeffrey, 1997).abs
356.31	0.17802
359.54	0.17267
363.08	0.16822
367.14	0.16466
371.41	0.16155
375.79	0.15932
379.85	0.15932
383.91	0.15977
387.87	0.16288
392.03	0.16911
395.37	0.17535
398.28	0.18113
401.61	0.18469
405.36	0.18469
409.22	0.18736
412.13	0.19048
415.05	0.20205
417.34	0.21540
419.53	0.23454
422.03	0.26346
425.25	0.30485
428.07	0.33689
430.67	0.37027
432.44	0.39608
435.15	0.45928
437.02	0.52514
438.79	0.61059
440.77	0.70895
442.13	0.79795
443.27	0.88118
444.10	0.92746
444.94	0.96128
445.67	0.98487
446.71	0.99656
448.00	1.0000
449.07	0.99600
450.09	0.98266
453.37	0.89364
457.44	0.76769
461.18	0.62528
464.73	0.48598
467.29	0.38496
469.52	0.29773
471.81	0.22919
473.58	0.18736
475.45	0.14864
477.12	0.12061
478.89	0.10147
481.28	0.084557
483.68	0.070761
487.32	0.057410
491.91	0.048509
495.97	0.041389
500.76	0.038273
505.24	0.037828
510.44	0.036938
515.65	0.037828
520.44	0.038718
525.75	0.040498
531.38	0.042724
536.38	0.044059
543.15	0.044949
549.29	0.045394
553.98	0.047667
557.22	0.051476
560.00	0.055926
562.78	0.062602
565.21	0.070761
567.29	0.078178
570.50	0.090417
573.02	0.099689
575.53	0.10896
577.96	0.11489
580.00	0.11638
581.94	0.11452
584.56	0.10859
587.51	0.099689
590.37	0.087821
593.93	0.074099
596.88	0.064085
599.75	0.054814
602.61	0.048509
605.74	0.043688
608.43	0.041834
612.59	0.042204
616.41	0.042575
619.88	0.042575
622.83	0.041463
625.35	0.038496
628.30	0.034045
631.25	0.029224
634.11	0.025516
636.81	0.021807
640.19	0.018208
642.97	0.016615
646.00	0.014760
649.65	0.013852
653.47	0.012906
657.89	0.012463
663.19	0.012063
667.61	0.011423
673.17	0.0099392
678.20	0.0084557
682.28	0.0066014
685.41	0.0047471
688.44	0.0035432
690.70	0.0028927
693.48	0.0028927
695.68	0.0028927
