Wavelength (nm)	CHL244_ProtoChllide a, MeOH (Dietzek, 2006).ems
589.16	0.0044954
592.90	0.0055451
596.47	0.0062592
599.94	0.011110
602.95	0.016842
606.24	0.025661
608.44	0.037567
610.54	0.049914
612.46	0.067993
613.95	0.090041
615.56	0.11694
617.03	0.15971
618.95	0.21880
622.12	0.35497
625.96	0.57086
629.14	0.72272
630.90	0.79892
632.25	0.85448
633.86	0.90210
635.72	0.94602
637.69	0.98201
638.90	0.99682
640.00	1.00000
641.31	0.99576
642.30	0.98306
644.71	0.94179
648.00	0.85713
654.36	0.70685
657.87	0.63224
660.39	0.57985
664.01	0.51636
666.31	0.47667
668.83	0.44228
672.89	0.40047
676.51	0.36872
681.00	0.33909
685.50	0.31634
690.65	0.29094
695.48	0.27083
699.97	0.24385
704.80	0.21316
709.84	0.18088
714.01	0.15548
717.52	0.13484
721.46	0.11473
726.51	0.091452
732.32	0.073990
738.46	0.057057
744.60	0.044887
750.30	0.036950
756.55	0.029013
762.36	0.023721
768.72	0.018959
775.19	0.014726
781.55	0.013138
787.16	0.011992
792.95	0.010492
799.09	0.010492
