Wavelength (nm)	CHL246_8-Vinyl ProtoChllide a, Et2O (Jeffrey, 1987).abs
352.18	0.17363
354.94	0.17274
359.14	0.17098
362.95	0.16965
366.76	0.16921
370.83	0.17052
374.76	0.17403
378.97	0.18019
383.17	0.18634
387.63	0.19118
390.91	0.19601
394.59	0.20261
397.08	0.20789
400.24	0.21933
403.91	0.24132
407.06	0.27257
410.35	0.30909
413.10	0.34561
416.12	0.37862
418.62	0.40678
420.98	0.42746
422.95	0.44594
424.52	0.46746
425.71	0.49699
427.41	0.56916
429.38	0.67082
431.48	0.78436
432.82	0.86798
433.72	0.92431
434.63	0.95863
435.05	0.97756
435.89	0.99648
437.00	1.00000
438.18	0.99604
439.49	0.97711
441.20	0.93574
443.43	0.85476
445.37	0.76013
446.70	0.67651
447.89	0.58629
448.89	0.51235
449.98	0.43402
451.05	0.36096
452.75	0.26457
453.67	0.22849
454.72	0.19064
455.77	0.16071
457.48	0.13386
459.05	0.11757
461.42	0.10041
464.31	0.086758
467.85	0.073990
472.18	0.062101
475.86	0.053734
479.80	0.045806
485.22	0.036997
490.30	0.032147
497.26	0.027295
503.17	0.025086
509.73	0.023287
516.17	0.021985
520.21	0.021319
524.83	0.020811
530.61	0.020569
535.42	0.020929
541.88	0.022019
547.28	0.024282
552.58	0.027651
556.57	0.031165
560.28	0.034240
563.38	0.038196
566.71	0.044719
568.90	0.049850
570.98	0.054248
572.84	0.055712
574.92	0.054242
576.89	0.050205
578.75	0.045434
580.72	0.039563
582.36	0.033693
584.44	0.027455
587.39	0.021216
589.58	0.017912
592.98	0.015971
595.93	0.016435
599.32	0.019364
602.82	0.023759
606.00	0.027423
607.74	0.029620
610.15	0.032550
612.34	0.035847
613.89	0.040250
614.85	0.044645
616.39	0.053078
618.03	0.065545
619.34	0.078379
620.98	0.092680
622.27	0.10111
623.50	0.10258
624.70	0.10001
625.86	0.090472
627.11	0.076167
628.53	0.058561
629.95	0.041688
631.27	0.031051
633.35	0.021146
635.97	0.014907
638.71	0.010502
641.55	0.0086635
645.16	0.0071910
648.33	0.0060859
654.24	0.0046099
659.82	0.0038678
665.07	0.0034126
669.89	0.0028935
673.83	0.0027846
677.66	0.0027403
