Wavelength (nm)	CHL247_8-Vinyl ProtoChllide a, HPLC (Chew, 2007).abs
351.44	0.16468
356.24	0.16664
361.20	0.17023
365.93	0.17219
369.73	0.17612
373.37	0.18102
376.70	0.18755
380.42	0.19736
383.21	0.20716
385.76	0.21370
388.55	0.21958
391.34	0.22121
394.13	0.22252
396.61	0.22383
399.55	0.22579
401.72	0.23233
404.12	0.24376
406.37	0.25945
408.62	0.28200
411.56	0.31468
414.43	0.35227
416.68	0.38331
418.92	0.41469
420.55	0.44377
422.72	0.48789
425.28	0.54182
427.80	0.61371
430.54	0.71601
432.71	0.81470
434.26	0.87353
435.04	0.90588
436.12	0.94053
437.90	0.98040
439.14	0.99706
440.00	1.0000
440.93	0.99674
442.24	0.98203
444.18	0.94347
446.19	0.87974
448.75	0.79379
451.31	0.67287
453.94	0.55358
455.80	0.46371
458.59	0.34181
460.68	0.25030
462.35	0.19801
463.39	0.16468
464.79	0.13853
466.18	0.11043
467.73	0.086896
469.13	0.068594
470.68	0.053234
472.30	0.041796
474.24	0.031011
476.49	0.021860
478.89	0.015651
482.38	0.012383
486.09	0.011402
494.62	0.010422
504.07	0.011729
510.65	0.013363
517.32	0.015651
522.59	0.019246
526.69	0.023494
530.33	0.027416
533.51	0.031338
536.76	0.033299
540.25	0.033952
543.97	0.033952
547.46	0.033952
552.03	0.034606
556.06	0.036894
559.85	0.040489
563.26	0.044410
566.82	0.049312
569.77	0.054541
571.94	0.059117
574.26	0.063692
575.97	0.067287
577.59	0.068921
579.38	0.067170
581.86	0.063692
584.57	0.057810
587.20	0.050293
589.37	0.044737
591.62	0.039181
593.32	0.036567
595.10	0.034279
597.74	0.033299
600.22	0.034279
602.46	0.036240
604.94	0.039508
607.27	0.043757
609.98	0.049312
613.00	0.057156
615.80	0.067287
618.27	0.080033
620.44	0.094086
621.99	0.10552
623.85	0.11892
625.47	0.13036
627.02	0.13886
628.73	0.14736
630.00	0.14866
631.21	0.14703
632.52	0.14049
634.00	0.13036
635.78	0.11369
637.79	0.096046
639.42	0.080686
641.67	0.063692
643.84	0.049966
646.01	0.037547
648.02	0.028070
650.27	0.021207
652.44	0.015651
654.99	0.011076
658.40	0.0084612
662.59	0.0058467
666.07	0.0046852
669.02	0.0040185
673.20	0.0035590
676.84	0.0035590
680.64	0.0035590
699.50	0.0035590
