Wavelength (nm)	CHL250_8-Vinyl ProroPhebide a, HPLC (Chew, 2007).abs
350.91	0.17146
354.07	0.17657
357.42	0.18089
360.49	0.18443
363.56	0.18875
366.44	0.19268
369.23	0.19465
372.02	0.19504
375.92	0.19543
378.62	0.19661
381.03	0.20015
383.54	0.20683
385.50	0.21744
387.54	0.23081
389.40	0.24771
391.35	0.26972
393.21	0.28976
395.17	0.30942
397.21	0.32750
399.72	0.34479
401.58	0.35697
403.63	0.37505
405.21	0.39510
406.69	0.42458
408.74	0.47685
410.60	0.54013
412.83	0.62346
414.78	0.73116
416.36	0.81252
417.39	0.87108
418.69	0.93279
420.27	0.98153
421.10	0.99764
422.00	1.00000
422.96	0.99725
424.00	0.98192
425.20	0.93279
427.71	0.82431
430.40	0.70325
431.40	0.65766
432.35	0.63054
434.68	0.58927
436.35	0.55428
438.40	0.51419
439.60	0.48550
442.21	0.41122
444.35	0.34204
447.23	0.24299
448.44	0.19976
450.20	0.16202
451.69	0.13058
453.18	0.10542
455.04	0.079876
456.53	0.064155
458.66	0.049219
461.64	0.035855
465.36	0.024850
470.10	0.018954
474.75	0.016989
478.93	0.015810
483.95	0.016203
491.39	0.016596
498.64	0.019740
505.24	0.022492
509.33	0.025243
513.43	0.028780
516.96	0.033497
520.12	0.040965
522.54	0.046861
525.33	0.053149
528.21	0.056294
530.85	0.054328
534.16	0.050791
536.95	0.045681
539.92	0.041751
542.34	0.038606
545.31	0.034676
548.66	0.033890
552.19	0.035462
554.98	0.038606
557.96	0.043716
560.19	0.050005
562.42	0.058259
564.47	0.068085
566.05	0.077125
568.00	0.086951
569.50	0.094026
572.00	0.095991
573.52	0.094419
575.10	0.089310
577.30	0.083021
579.34	0.078304
581.29	0.075160
583.43	0.075553
585.94	0.077911
588.61	0.081907
591.34	0.084200
593.38	0.082628
595.61	0.080270
597.91	0.076667
600.31	0.071426
602.71	0.064548
604.96	0.057669
607.36	0.049481
609.37	0.041620
611.08	0.034742
612.94	0.029501
614.72	0.024588
616.50	0.020330
618.36	0.016727
620.14	0.014762
622.54	0.012141
625.10	0.0098485
627.35	0.0088659
630.45	0.0091935
633.39	0.0091935
636.26	0.010831
638.97	0.012469
642.69	0.013779
645.79	0.012980
649.19	0.012018
652.76	0.011159
656.48	0.0085384
660.20	0.0061559
664.38	0.0046079
668.18	0.0039528
672.51	0.0033625
675.69	0.0029702
679.02	0.0029702
683.28	0.0029702
699.50	0.0029702
