Wavelength (nm)	CHL251_BChl a, Ace (Weiss, 1972).abs
301.77	0.47680
305.23	0.48624
307.84	0.49567
310.27	0.50468
312.23	0.51197
313.73	0.51455
315.41	0.51026
317.18	0.50254
319.61	0.49140
321.76	0.47853
323.16	0.47639
325.50	0.48068
327.55	0.49140
329.43	0.50770
332.53	0.54073
334.56	0.56775
337.36	0.60935
340.35	0.65824
343.24	0.71185
346.51	0.77232
349.32	0.82765
352.39	0.88855
354.45	0.92157
356.51	0.94682
358.00	0.95117
359.50	0.94688
361.09	0.92887
363.23	0.88727
366.13	0.82895
368.28	0.78178
370.05	0.74533
371.64	0.71488
373.60	0.68529
376.31	0.65827
379.30	0.63169
382.48	0.60510
385.09	0.58966
387.89	0.57809
390.60	0.56179
392.28	0.54335
394.34	0.51591
396.39	0.46230
399.01	0.37053
401.34	0.28905
403.21	0.22686
405.55	0.17412
407.76	0.14110
410.03	0.11279
412.09	0.095640
414.52	0.081061
417.04	0.069913
420.59	0.059195
424.14	0.052336
428.25	0.047623
432.73	0.044196
435.91	0.041625
439.46	0.039148
445.53	0.034265
452.07	0.030490
458.98	0.026284
466.08	0.022783
473.74	0.019520
479.25	0.017636
484.85	0.016037
490.55	0.015514
497.28	0.015091
501.48	0.015524
509.89	0.018962
517.92	0.025402
523.34	0.030124
529.50	0.038707
534.83	0.047718
541.08	0.058874
545.57	0.067884
549.86	0.080753
553.41	0.097482
556.22	0.11764
558.83	0.14295
560.79	0.16310
562.75	0.18927
564.52	0.21028
566.77	0.23301
569.20	0.25060
572.19	0.26561
574.62	0.27333
576.49	0.27548
578.45	0.27334
581.16	0.26348
584.48	0.24075
588.44	0.20687
591.90	0.17428
595.63	0.14727
599.56	0.12154
602.92	0.10482
605.82	0.091525
610.11	0.074803
614.04	0.061941
618.05	0.054225
620.95	0.051225
624.96	0.048656
629.55	0.047491
634.96	0.047378
640.75	0.048241
646.17	0.051677
652.61	0.057687
658.41	0.067556
663.73	0.076566
668.21	0.088150
673.44	0.10488
678.49	0.12075
682.41	0.13405
687.83	0.15292
692.03	0.16537
697.36	0.17523
702.03	0.18081
706.70	0.18639
712.02	0.19412
715.38	0.20055
718.65	0.21428
721.64	0.22801
725.19	0.25074
727.94	0.27690
731.19	0.31464
733.09	0.33823
735.09	0.37340
737.62	0.41372
742.29	0.50507
745.56	0.57283
749.67	0.65603
752.56	0.72508
754.99	0.78041
757.61	0.83659
759.10	0.87262
761.62	0.92580
765.26	0.98198
767.41	0.99742
769.00	1.00000
770.87	0.99742
772.74	0.98370
775.17	0.94554
777.69	0.87606
779.74	0.80487
782.08	0.71782
784.88	0.59988
786.28	0.53856
787.68	0.47637
789.42	0.41676
791.82	0.33914
793.75	0.27910
795.44	0.22207
797.40	0.17318
798.80	0.13844
800.12	0.11443
801.51	0.090842
803.28	0.074118
805.43	0.053534
807.77	0.040671
809.91	0.030809
812.81	0.020948
815.99	0.015375
819.07	0.010661
822.34	0.0072328
826.45	0.0046633
832.05	0.0029528
837.00	0.0020996
840.83	0.0021029
