Wavelength (nm)	CHL253_BChl a, Et2O (Smith, 1955).abs
350.01	0.69226
351.03	0.71597
352.23	0.73893
353.60	0.76340
355.05	0.78711
356.90	0.80555
358.50	0.81239
359.72	0.80763
360.90	0.79388
363.98	0.75098
366.65	0.70694
369.62	0.65424
371.65	0.61811
373.78	0.59327
375.91	0.57482
377.94	0.56052
380.25	0.54810
382.75	0.53719
384.41	0.53041
387.00	0.52589
388.57	0.52891
389.59	0.53342
391.50	0.53493
392.83	0.53192
393.94	0.52288
394.95	0.50820
398.38	0.40470
401.34	0.31097
403.46	0.23795
405.03	0.19128
406.42	0.16381
407.53	0.14122
408.64	0.12541
410.21	0.10961
411.70	0.096055
413.26	0.087774
415.02	0.079870
417.42	0.070084
420.20	0.062933
423.71	0.058040
427.69	0.053523
432.68	0.050512
436.75	0.048790
441.19	0.044113
447.29	0.038467
453.49	0.030563
459.50	0.025670
464.95	0.021906
470.04	0.018895
476.05	0.017013
482.15	0.015884
488.72	0.015507
495.75	0.015507
503.51	0.015507
511.10	0.015884
517.48	0.018895
522.56	0.023035
527.93	0.029434
533.01	0.035080
537.27	0.040349
541.98	0.044866
545.96	0.050135
549.75	0.056534
552.06	0.065191
554.46	0.075730
557.42	0.091915
559.83	0.11073
562.51	0.13332
565.56	0.15967
568.98	0.18865
571.29	0.20634
573.61	0.22139
575.45	0.22892
577.12	0.23156
578.69	0.22854
580.73	0.22102
582.58	0.20897
584.42	0.19618
587.48	0.17246
590.90	0.14687
593.30	0.12918
595.89	0.11337
598.85	0.098313
601.35	0.087398
604.58	0.076859
608.00	0.065944
611.06	0.057663
614.48	0.048630
618.73	0.040349
622.61	0.033574
626.31	0.030939
630.29	0.029810
636.02	0.029810
641.85	0.030939
647.40	0.032821
653.41	0.035080
658.68	0.039220
664.13	0.043737
668.94	0.052017
673.75	0.062933
677.73	0.072719
681.89	0.083634
685.49	0.093044
689.19	0.10132
693.35	0.11224
697.51	0.12203
701.68	0.12918
706.67	0.13520
710.65	0.13671
714.16	0.13671
717.58	0.13708
721.93	0.14235
724.52	0.14837
726.92	0.15703
729.05	0.16832
731.27	0.18225
733.48	0.19994
735.61	0.22026
738.29	0.25226
741.46	0.29313
745.01	0.34508
747.67	0.39566
750.67	0.46928
753.90	0.56865
756.88	0.65673
760.10	0.75158
762.54	0.82520
764.65	0.87624
766.87	0.92547
768.42	0.95302
769.97	0.97832
771.53	0.99683
773.00	1.00000
774.52	0.99638
776.19	0.98193
778.18	0.93812
780.74	0.85908
783.29	0.73848
786.40	0.61021
790.06	0.47199
793.16	0.34598
796.27	0.24074
798.35	0.17299
799.82	0.13776
801.38	0.11247
802.93	0.092592
805.15	0.074074
807.81	0.056007
810.36	0.042909
813.58	0.029810
817.24	0.018970
820.68	0.012195
825.12	0.0063234
829.45	0.0036134
833.44	0.0031617
838.55	0.0031617
