Wavelength (nm)	CHL254_BChl a, Et2O (Weiss, 1972).abs
334.83	0.20663
337.34	0.26938
339.75	0.33242
342.10	0.40320
345.03	0.49241
348.56	0.60809
350.23	0.66251
352.36	0.71634
354.50	0.75678
355.98	0.77403
357.00	0.77641
358.11	0.77433
359.29	0.76630
361.38	0.73389
362.94	0.70326
364.95	0.64884
366.09	0.61584
367.76	0.57510
369.33	0.53971
370.32	0.51800
371.46	0.50254
373.14	0.48975
375.00	0.47994
377.27	0.47140
380.05	0.46592
381.68	0.46627
383.90	0.46924
385.72	0.47638
387.52	0.48798
388.73	0.49987
389.28	0.50642
390.40	0.51861
391.42	0.52634
392.72	0.52902
393.83	0.52634
395.06	0.51713
396.80	0.48352
398.65	0.42554
402.18	0.32413
403.60	0.28994
405.19	0.25782
407.74	0.22154
411.36	0.18081
415.63	0.13739
419.15	0.11182
421.94	0.094871
424.81	0.077327
428.24	0.064542
431.68	0.054136
436.50	0.045813
440.86	0.038976
445.78	0.035113
450.60	0.031250
454.59	0.029171
459.04	0.025903
463.40	0.023824
468.50	0.021448
474.16	0.019965
479.35	0.019367
485.76	0.018485
491.51	0.017299
497.81	0.017601
503.19	0.020280
508.76	0.021109
512.84	0.024747
516.83	0.030400
521.10	0.039026
525.55	0.045868
529.26	0.048547
533.25	0.049739
536.50	0.049741
539.84	0.050041
543.18	0.052422
546.24	0.058371
549.02	0.069376
552.45	0.088707
555.70	0.10804
558.30	0.13183
559.97	0.14848
561.63	0.16246
563.30	0.18387
565.07	0.20231
567.94	0.22135
570.54	0.23146
572.02	0.23324
574.16	0.23146
576.29	0.22403
578.42	0.20619
579.91	0.18775
582.97	0.15980
585.57	0.13155
588.26	0.10419
590.76	0.085162
594.47	0.064646
598.83	0.046509
602.17	0.036698
604.95	0.029265
608.85	0.024212
612.56	0.022133
617.48	0.021838
622.12	0.022133
627.12	0.023263
632.40	0.025141
637.51	0.026906
643.17	0.029302
648.65	0.031076
653.10	0.033161
657.09	0.034948
661.26	0.037329
665.71	0.041495
669.42	0.047445
674.16	0.055180
678.24	0.064698
681.58	0.073622
684.92	0.082545
688.63	0.092712
691.22	0.099202
693.36	0.10396
696.70	0.11080
700.59	0.11467
703.28	0.11616
706.81	0.11557
710.33	0.11646
713.76	0.11646
717.29	0.11825
720.91	0.12360
724.06	0.13223
727.21	0.14294
729.81	0.15662
733.24	0.18368
737.05	0.21937
740.02	0.25833
743.73	0.32494
745.96	0.37788
747.25	0.42218
749.39	0.49683
752.22	0.58604
756.09	0.70975
759.59	0.81324
762.65	0.89770
763.95	0.93576
765.71	0.98453
767.32	0.99881
769.00	1.00000
770.50	0.99821
771.99	0.98186
773.97	0.93458
776.38	0.81563
779.07	0.67468
781.52	0.53699
783.15	0.44748
784.72	0.35203
786.49	0.27322
788.43	0.20394
790.48	0.15130
791.87	0.11949
793.45	0.095697
795.39	0.070124
796.97	0.056148
798.83	0.045444
800.50	0.036821
802.44	0.029983
805.32	0.023740
808.66	0.017497
812.46	0.011849
815.99	0.0085804
819.70	0.0056090
824.24	0.0029354
831.94	0.0016235
840.11	0.0015235
847.71	0.0014632
