Wavelength (nm)	CHL258_BChl a, Pyr (Weiss, 1972).abs
300.60	0.23238
304.17	0.23685
308.29	0.24266
312.20	0.25159
316.66	0.26142
320.68	0.27303
325.86	0.28852
330.42	0.30303
334.51	0.31636
338.60	0.33207
342.04	0.34770
345.57	0.36631
348.09	0.38231
350.60	0.40204
353.29	0.42883
355.15	0.45563
357.41	0.49247
358.96	0.51815
360.82	0.55536
362.50	0.59109
364.08	0.62607
365.19	0.65398
366.17	0.68487
367.24	0.71055
368.66	0.74143
369.93	0.75706
371.61	0.76823
373.00	0.77009
374.21	0.76711
375.70	0.75670
377.65	0.73102
380.16	0.68376
381.93	0.64357
383.88	0.60190
385.65	0.57548
387.69	0.54757
389.92	0.52710
392.80	0.50217
395.50	0.47836
398.38	0.45938
400.82	0.44040
402.66	0.42366
404.98	0.38570
407.96	0.33621
410.28	0.29007
412.61	0.22458
414.56	0.18029
415.95	0.14457
417.63	0.11778
419.12	0.10364
420.60	0.089127
422.93	0.077965
425.16	0.067547
427.85	0.057873
431.67	0.048573
435.66	0.042994
440.20	0.038160
445.52	0.032858
450.82	0.029609
455.93	0.026264
461.98	0.023292
467.93	0.021063
474.25	0.019188
481.31	0.017725
489.87	0.016987
497.68	0.016993
505.58	0.015951
511.44	0.016260
516.64	0.017008
523.06	0.016574
527.80	0.014837
532.08	0.015159
537.47	0.016652
542.86	0.020378
546.38	0.024373
550.95	0.031920
554.30	0.037877
557.74	0.043461
560.06	0.046272
562.38	0.047930
564.99	0.048305
567.68	0.049051
570.94	0.051658
574.10	0.053894
577.54	0.058734
580.14	0.065062
582.47	0.072135
584.70	0.081068
586.56	0.088140
588.97	0.099678
591.76	0.11456
594.46	0.13280
597.34	0.15736
599.95	0.17783
602.55	0.19942
605.34	0.22212
607.57	0.23366
609.71	0.23664
612.10	0.23366
613.98	0.22399
616.49	0.20836
619.84	0.18306
623.19	0.15776
626.07	0.13022
630.07	0.098965
633.04	0.075523
635.83	0.062501
639.18	0.055061
642.25	0.050970
646.52	0.049148
650.89	0.047999
655.91	0.046887
660.10	0.047262
665.30	0.049127
669.77	0.053224
673.49	0.057320
676.93	0.062161
680.55	0.067373
683.90	0.073702
686.69	0.081519
689.01	0.091196
691.43	0.099757
694.78	0.11092
697.94	0.12246
701.01	0.13326
704.07	0.14182
707.51	0.14703
711.05	0.15150
714.58	0.15597
717.93	0.15746
720.99	0.15932
724.34	0.16118
727.69	0.16491
730.48	0.16938
732.80	0.17794
736.06	0.19208
739.68	0.21367
743.40	0.24270
746.28	0.27396
750.00	0.32829
752.31	0.37369
755.39	0.45147
759.43	0.55828
763.17	0.66583
767.76	0.78789
770.83	0.87423
772.97	0.92633
774.36	0.95870
776.22	0.98773
777.61	0.99619
779.00	1.0000
780.31	0.99626
781.52	0.98488
782.98	0.95350
785.14	0.88317
787.28	0.79237
790.91	0.63831
795.00	0.45150
798.25	0.31233
800.21	0.23679
801.69	0.17613
803.00	0.13892
803.83	0.11399
804.85	0.096868
806.43	0.079752
808.11	0.065984
810.15	0.053705
812.48	0.040683
814.99	0.031753
817.87	0.023941
821.31	0.018361
825.40	0.012783
830.14	0.0098093
835.35	0.0072832
840.28	0.0056096
844.46	0.0042385
849.11	0.0034978
854.04	0.0027574
858.96	0.0027612
863.71	0.0027612
