Wavelength (nm)	CHL259_BChl a, Pyr (Hindman, 1977).abs
500.11	0.046741
505.35	0.046351
510.70	0.046398
516.32	0.046447
522.88	0.046502
530.51	0.048749
537.18	0.052297
543.83	0.057592
550.48	0.065070
556.92	0.072545
565.21	0.082654
572.19	0.092753
577.27	0.10196
581.14	0.11248
584.35	0.12298
587.70	0.13568
590.67	0.15099
593.77	0.16936
596.91	0.18904
600.29	0.21266
602.85	0.23190
604.67	0.24196
606.95	0.25115
608.81	0.25509
610.68	0.25641
613.01	0.25460
614.57	0.25163
616.26	0.24290
619.10	0.22369
622.54	0.19837
626.95	0.16475
630.72	0.13681
633.22	0.11935
636.69	0.10714
640.31	0.098417
644.35	0.092759
648.31	0.088848
652.95	0.087562
657.53	0.088897
662.42	0.093292
667.00	0.099869
671.23	0.11038
675.65	0.12394
679.85	0.14100
683.28	0.15369
687.16	0.16376
689.54	0.16814
692.65	0.17034
697.23	0.16818
701.00	0.16339
704.95	0.16035
709.54	0.15906
714.65	0.15821
721.06	0.15824
727.73	0.16220
732.78	0.16877
736.92	0.18102
740.63	0.19546
743.22	0.20945
745.82	0.23349
749.09	0.26890
753.05	0.32877
758.20	0.44633
764.45	0.65433
767.64	0.76008
770.80	0.85621
773.00	0.91215
775.30	0.95804
776.93	0.98033
778.50	0.99606
780.00	1.00000
781.40	0.99564
782.70	0.98079
783.62	0.96200
786.25	0.89822
789.30	0.79118
792.05	0.66317
795.02	0.51288
800.55	0.27302
803.94	0.17385
805.68	0.13453
808.07	0.10046
810.03	0.079059
812.00	0.061152
814.17	0.045867
816.45	0.033616
819.72	0.024828
823.54	0.019246
829.00	0.013584
833.09	0.011413
839.26	0.0082041
845.09	0.0057954
851.46	0.0039949
857.92	0.0031046
864.48	0.0022144
870.20	0.0022144
