Wavelength (nm)	CHL260_BChl a, Pyr (Niedzwiedzki, 2010).abs
321.32	0.28121
326.91	0.28820
331.34	0.30043
335.78	0.31441
339.25	0.32927
342.33	0.34413
346.80	0.36554
350.04	0.38494
353.10	0.41483
356.20	0.44996
359.29	0.49138
361.14	0.53228
363.68	0.58786
365.35	0.63296
367.40	0.68434
368.70	0.71773
370.47	0.74788
372.45	0.76317
374.00	0.76710
375.50	0.76361
377.50	0.74744
380.00	0.70462
381.45	0.67272
383.52	0.62509
385.30	0.59538
387.43	0.56435
389.93	0.53420
392.44	0.50973
396.68	0.47609
400.92	0.44550
403.81	0.42147
405.73	0.39176
408.05	0.35068
410.68	0.29388
412.70	0.24450
415.18	0.19818
418.50	0.14269
420.45	0.11385
423.08	0.092878
426.36	0.077584
429.44	0.065786
435.41	0.056610
443.70	0.049619
451.99	0.045249
459.12	0.040518
467.40	0.035199
475.50	0.030295
483.79	0.027771
491.49	0.026023
497.47	0.022964
502.87	0.019906
511.35	0.019032
519.82	0.019906
527.73	0.021654
535.05	0.022964
542.18	0.027334
549.50	0.033451
555.48	0.041754
561.07	0.050930
566.08	0.057047
573.21	0.062291
577.83	0.066660
582.27	0.072777
586.12	0.083701
589.40	0.097684
592.10	0.11298
595.18	0.13395
598.26	0.15318
600.60	0.17415
602.89	0.19556
605.01	0.21042
607.32	0.22309
610.40	0.23270
613.10	0.23707
615.80	0.23183
618.50	0.21785
621.20	0.19731
624.47	0.16978
627.36	0.14051
630.25	0.11254
634.11	0.086323
636.42	0.071904
638.54	0.061417
642.59	0.052677
647.79	0.047871
652.61	0.045249
658.97	0.046123
664.56	0.046997
669.18	0.048308
674.97	0.052241
679.59	0.059669
685.18	0.071467
690.77	0.085886
695.20	0.098995
699.63	0.11473
703.30	0.12783
708.50	0.13788
712.93	0.14488
718.13	0.14750
723.34	0.14968
727.96	0.15061
732.20	0.15493
736.64	0.16935
741.26	0.19381
745.31	0.22965
748.97	0.27509
753.21	0.35025
758.99	0.47390
763.62	0.60892
768.63	0.74788
772.29	0.86454
774.05	0.91305
775.76	0.95062
777.49	0.98034
779.03	0.99565
781.00	1.0000
783.08	0.99569
784.62	0.98165
786.74	0.93533
789.90	0.82784
792.14	0.72341
794.64	0.58577
797.73	0.43152
799.68	0.32578
801.85	0.24800
804.09	0.18595
806.59	0.13177
808.33	0.095062
810.20	0.070156
812.38	0.049182
814.50	0.033451
816.81	0.022090
820.85	0.012477
824.52	0.0081078
829.14	0.0046122
834.15	0.0028643
838.78	0.0019904
843.60	0.0015535
850.15	0.0015535
