Wavelength (nm)	CHL264_BChl b, Et2O (Oelze, 1985).abs
350.36	0.43765
356.44	0.51027
359.56	0.55794
362.60	0.60837
365.59	0.65257
367.98	0.68676
370.70	0.71942
372.06	0.73162
374.00	0.73438
376.46	0.73083
378.45	0.72296
380.44	0.71273
382.85	0.69660
385.26	0.67850
387.46	0.66197
390.08	0.63954
391.96	0.62537
394.69	0.61081
396.67	0.60648
398.66	0.61042
400.76	0.62262
402.75	0.63993
404.53	0.65410
406.00	0.66630
408.00	0.67102
409.45	0.66748
411.13	0.65449
414.16	0.60333
416.36	0.55060
418.56	0.49827
420.97	0.44632
423.38	0.40815
425.58	0.37864
427.99	0.35109
431.76	0.32040
435.11	0.29954
439.09	0.27160
444.74	0.22871
447.78	0.20628
451.03	0.18070
453.54	0.15945
456.26	0.14213
460.14	0.12482
464.85	0.10790
470.82	0.092943
476.06	0.082711
482.65	0.073267
489.98	0.065790
496.37	0.059100
503.28	0.052804
509.78	0.048475
516.69	0.046507
522.03	0.045327
528.10	0.044933
534.81	0.049262
540.88	0.053197
546.74	0.061855
552.40	0.071693
557.01	0.083498
560.57	0.093730
564.55	0.10711
568.11	0.12246
572.51	0.14253
577.22	0.16338
581.20	0.17755
584.86	0.18778
588.42	0.19290
592.19	0.19526
595.86	0.19290
599.21	0.18660
602.04	0.17794
604.97	0.16378
608.11	0.14371
611.36	0.11931
614.71	0.096878
617.43	0.079563
619.84	0.067757
623.19	0.058313
626.02	0.053591
629.89	0.050443
633.87	0.048869
637.64	0.048082
641.10	0.049656
644.56	0.052017
648.75	0.055165
653.14	0.062642
657.33	0.070906
661.00	0.081924
663.93	0.090975
666.86	0.099632
669.06	0.10396
671.16	0.10514
673.67	0.10435
676.29	0.10121
679.32	0.095697
681.94	0.089794
684.46	0.085859
686.45	0.083498
689.17	0.083105
691.79	0.084679
694.72	0.090188
697.34	0.098058
700.27	0.10554
702.89	0.11341
705.71	0.12206
709.28	0.12915
713.99	0.13269
718.18	0.13072
722.05	0.12757
725.72	0.12364
729.49	0.12246
732.73	0.12403
737.03	0.12875
741.43	0.13584
745.72	0.14567
748.44	0.15905
751.17	0.18109
754.41	0.20824
757.03	0.23540
760.17	0.28222
765.62	0.38454
769.10	0.46560
773.00	0.56752
776.90	0.68479
780.28	0.79026
782.90	0.86126
784.45	0.90595
786.14	0.94412
788.45	0.98151
790.23	0.99535
792.00	1.0000
793.37	0.99165
794.50	0.98019
796.60	0.92681
798.85	0.85715
802.37	0.71313
806.35	0.54864
810.23	0.38296
813.06	0.26334
815.88	0.17204
817.98	0.12836
820.28	0.090188
822.90	0.055558
824.89	0.035489
827.09	0.024470
829.71	0.016994
832.70	0.010697
835.99	0.0075492
839.13	0.0055817
842.38	0.0036141
845.42	0.0026827
848.66	0.0016465
