Wavelength (nm)	CHL266_BChl b, DMF (Davis, 1979).abs
302.57	0.47787
308.05	0.49868
312.74	0.52224
316.34	0.54179
319.47	0.55132
323.54	0.55909
326.67	0.56485
330.58	0.57413
334.18	0.58591
337.00	0.60145
342.16	0.63128
348.11	0.68066
354.05	0.73856
357.61	0.78518
361.56	0.83982
366.10	0.89998
368.61	0.93758
370.64	0.95889
372.99	0.97944
374.61	0.98947
377.37	0.99874
379.50	1.00000
381.91	0.99824
384.25	0.99197
388.81	0.97242
392.96	0.94861
396.77	0.93081
399.43	0.91678
400.69	0.91302
403.03	0.90951
404.60	0.91327
406.94	0.92054
408.51	0.92881
409.92	0.93633
411.00	0.93858
412.73	0.93708
414.46	0.93131
416.11	0.92204
419.11	0.88194
421.81	0.82353
424.63	0.77415
427.31	0.73655
429.48	0.70898
431.56	0.69344
434.49	0.67514
437.62	0.66386
440.59	0.65985
444.34	0.65258
447.16	0.64206
449.51	0.63103
453.73	0.59242
458.12	0.52349
466.25	0.38964
471.42	0.30868
474.70	0.26005
478.30	0.22195
483.81	0.17257
487.53	0.15152
490.82	0.13598
494.58	0.12219
499.74	0.10966
506.00	0.098127
511.16	0.093114
517.11	0.088602
522.59	0.087098
527.59	0.087850
532.45	0.090106
540.58	0.095370
547.15	0.10026
553.26	0.10840
556.23	0.11367
560.30	0.12269
564.99	0.13522
569.85	0.15503
572.97	0.17257
577.04	0.19137
580.96	0.20967
583.15	0.22170
585.34	0.22747
588.62	0.22997
592.07	0.22822
595.35	0.22321
598.17	0.21619
601.45	0.21193
605.05	0.20942
608.03	0.21067
611.47	0.21117
615.85	0.21218
618.82	0.20766
623.52	0.19664
626.96	0.18460
631.97	0.16580
636.51	0.15528
640.42	0.14776
645.27	0.14400
649.34	0.14600
652.78	0.15277
656.38	0.16380
660.29	0.19538
663.11	0.22170
666.08	0.26131
668.90	0.30116
672.19	0.33976
674.53	0.36382
676.72	0.38563
678.61	0.39784
680.61	0.39992
682.36	0.39741
685.49	0.38087
690.31	0.33575
694.25	0.28662
697.69	0.24075
699.73	0.21569
702.86	0.18962
705.36	0.17909
708.33	0.16881
712.72	0.16280
718.51	0.15904
722.89	0.15678
728.36	0.15678
734.15	0.15778
738.69	0.16230
742.76	0.16656
745.26	0.17257
748.86	0.18360
753.71	0.21117
758.10	0.24175
763.89	0.29941
772.34	0.41646
778.76	0.51723
785.31	0.61649
788.86	0.66737
793.77	0.71901
796.12	0.73530
798.00	0.73806
800.19	0.73580
804.10	0.71224
808.16	0.65985
814.12	0.52124
818.66	0.39992
823.19	0.27935
829.06	0.16956
833.21	0.11843
836.96	0.079829
840.09	0.055014
842.13	0.040225
845.10	0.030449
847.92	0.021927
850.42	0.017164
854.02	0.012151
859.81	0.0076393
865.29	0.0058644
873.58	0.0036288
882.19	0.0026261
889.86	0.0018742
897.37	0.0014257
901.91	0.0013729
