Wavelength (nm)	CHL271_BChl g, Pyr (Niedzwiedzki, 2010).abs
330.92	0.36390
335.44	0.38154
338.96	0.40329
343.24	0.42907
346.75	0.45243
350.11	0.47901
352.78	0.50929
355.44	0.54419
358.04	0.58313
360.55	0.61971
363.10	0.66200
365.25	0.69893
367.12	0.74189
369.33	0.79794
370.48	0.83654
371.68	0.87749
372.90	0.91340
374.81	0.95737
376.59	0.98792
377.52	0.99698
379.00	1.0000
380.41	0.99698
381.70	0.98691
383.34	0.96308
385.12	0.92918
387.67	0.88521
389.32	0.86171
392.12	0.83386
394.29	0.81338
397.34	0.79190
400.27	0.77176
401.67	0.76236
403.58	0.75196
405.49	0.74894
407.50	0.75425
409.09	0.76740
410.37	0.78054
411.53	0.79677
412.50	0.81019
413.62	0.81998
414.75	0.82725
416.00	0.83130
417.05	0.82725
418.11	0.81635
419.60	0.78306
421.87	0.70754
423.96	0.62755
426.17	0.54196
429.15	0.43651
431.27	0.37133
432.81	0.33553
434.56	0.30672
437.10	0.28015
439.97	0.25526
442.83	0.23195
447.29	0.19764
451.11	0.16263
454.50	0.13834
457.79	0.11792
461.18	0.10282
465.75	0.088832
471.69	0.076525
477.31	0.065897
482.51	0.055268
487.28	0.044919
491.63	0.036697
496.19	0.031773
500.97	0.028976
506.69	0.028278
512.32	0.027018
518.58	0.023661
524.52	0.021983
529.82	0.021983
534.38	0.023381
538.20	0.026458
542.02	0.033731
545.63	0.044080
548.71	0.052750
550.72	0.058624
553.48	0.063659
556.87	0.065058
561.01	0.065897
563.98	0.066736
566.85	0.068694
570.35	0.073449
573.21	0.079323
575.97	0.089392
578.41	0.099741
580.85	0.11736
582.19	0.13442
584.09	0.15820
586.58	0.19680
589.78	0.24463
593.29	0.29190
595.07	0.30728
596.39	0.30924
597.82	0.30728
598.99	0.29861
601.22	0.27428
603.87	0.23512
606.52	0.19372
608.57	0.15904
610.14	0.13498
612.15	0.11205
614.27	0.094147
615.96	0.082679
618.19	0.071491
620.63	0.065337
623.60	0.060582
625.94	0.059463
628.70	0.061421
632.09	0.065058
637.18	0.067855
642.70	0.071211
647.90	0.074008
652.46	0.076246
656.91	0.081001
660.52	0.088832
664.34	0.098342
670.18	0.11149
675.90	0.12687
682.38	0.14701
686.94	0.16519
691.18	0.18309
694.89	0.19736
697.76	0.20799
700.94	0.21470
703.59	0.21722
706.14	0.21498
709.53	0.20799
712.82	0.20127
716.11	0.19428
718.23	0.18981
720.57	0.18645
722.79	0.18533
725.02	0.18729
726.93	0.19148
728.31	0.19540
730.33	0.20239
732.45	0.21442
734.46	0.22589
736.16	0.24155
738.81	0.26924
741.68	0.31204
743.80	0.34700
746.56	0.39986
749.42	0.46252
752.92	0.55202
757.17	0.66279
759.92	0.74278
762.08	0.79928
764.10	0.84068
766.14	0.87783
768.43	0.90703
770.09	0.92112
772.00	0.92381
773.78	0.92045
775.45	0.90904
777.60	0.87178
780.65	0.80365
783.20	0.73115
785.75	0.64959
788.67	0.54419
792.24	0.42839
795.80	0.31495
798.66	0.24110
800.87	0.19042
803.27	0.14612
805.35	0.10819
807.23	0.084357
808.92	0.067911
810.83	0.052135
813.54	0.036024
815.72	0.026626
818.34	0.019242
821.65	0.012529
825.59	0.0069037
829.16	0.0039539
833.36	0.0021618
837.94	0.0016383
841.19	0.0014525
845.71	0.0014525
850.36	0.0014525
