Wavelength (nm)	CHL271_BChl g, Pyr (Niedzwiedzki, 2010).ems
710.91	0.038682
718.91	0.039757
726.41	0.045131
733.02	0.049431
738.23	0.054447
741.78	0.059105
746.36	0.068779
749.28	0.079528
751.70	0.092427
753.88	0.10891
755.75	0.12718
759.32	0.16337
762.37	0.20278
766.20	0.27229
770.00	0.36043
773.55	0.45538
777.87	0.61089
781.43	0.74704
784.35	0.83948
786.77	0.90827
788.42	0.95055
789.60	0.97832
790.58	0.99459
792.00	1.00000
793.38	0.99618
795.03	0.98460
797.19	0.94697
800.36	0.86564
804.18	0.76127
807.23	0.66606
810.40	0.54173
813.33	0.45359
819.04	0.32711
821.20	0.29092
822.98	0.26441
825.78	0.23754
828.32	0.21998
832.13	0.20135
837.98	0.19383
842.55	0.18523
847.76	0.17304
854.12	0.15549
864.15	0.12575
869.24	0.10246
874.57	0.080603
879.66	0.063046
884.36	0.043340
888.04	0.033307
894.27	0.022559
898.84	0.014318
903.04	0.0089431
909.26	0.0053602
913.71	0.0035687
919.68	0.0014189
925.66	0.0010606
931.38	0.0010606
936.46	0.0010606
941.29	0.0010606
