Wavelength (nm)	CHL272_BPhe a, C6H6 (Kobayashi, 1998).abs
307.13	0.41273
309.27	0.40031
311.76	0.38026
314.08	0.36388
316.48	0.35174
318.89	0.34243
320.76	0.33396
322.81	0.32803
324.59	0.32436
327.00	0.32351
329.31	0.32605
331.54	0.32972
333.90	0.33819
335.64	0.35259
338.04	0.38393
339.91	0.41555
342.76	0.46892
346.95	0.56124
350.34	0.65781
354.52	0.79926
357.20	0.89893
358.81	0.95116
360.31	0.98561
361.03	0.99749
362.00	1.0000
362.99	0.99719
364.06	0.97968
365.84	0.91982
367.89	0.81931
369.76	0.72980
371.33	0.66543
372.63	0.62816
374.75	0.58270
376.62	0.55221
378.49	0.53103
379.38	0.52115
380.80	0.51070
382.32	0.50760
384.01	0.50986
384.99	0.51663
386.33	0.52539
387.49	0.53103
388.64	0.53301
390.16	0.53132
391.05	0.52256
392.39	0.49602
394.61	0.42374
396.40	0.34751
400.31	0.20238
402.63	0.14845
404.41	0.11147
406.19	0.090856
408.24	0.074197
410.11	0.062621
412.43	0.050762
415.37	0.043986
419.11	0.037492
423.48	0.031563
427.93	0.029304
433.46	0.027045
441.03	0.025351
448.15	0.025351
454.21	0.025069
459.29	0.026481
464.10	0.027045
467.40	0.026763
470.96	0.025351
474.35	0.025351
476.57	0.025069
479.25	0.026198
481.56	0.028457
484.32	0.033257
486.82	0.038339
488.87	0.042010
490.83	0.045680
492.43	0.049633
494.21	0.052457
496.35	0.055280
498.93	0.056409
501.43	0.056409
503.12	0.056127
505.17	0.055562
507.22	0.057821
509.18	0.061209
510.87	0.066856
512.83	0.078150
515.06	0.096503
518.36	0.12982
521.38	0.16907
524.15	0.20238
525.93	0.22751
527.62	0.24558
529.49	0.25885
530.83	0.26591
532.07	0.26704
533.41	0.26563
534.93	0.25800
536.71	0.23739
539.74	0.18996
542.68	0.13914
545.62	0.091703
547.31	0.069397
549.00	0.051327
550.78	0.036363
552.92	0.025916
555.95	0.017728
559.34	0.011799
562.28	0.0089752
566.20	0.0075635
571.54	0.0075635
576.44	0.0076756
580.89	0.0078564
585.71	0.0081411
591.23	0.0086929
595.15	0.0092576
598.89	0.010669
603.52	0.013493
607.53	0.016881
610.92	0.020269
614.03	0.023412
617.51	0.026198
620.63	0.028175
623.75	0.029586
627.13	0.028739
630.34	0.028175
634.61	0.026763
638.80	0.025634
642.10	0.025351
646.02	0.025916
649.76	0.027328
653.59	0.030998
658.04	0.035516
661.70	0.042574
664.90	0.050480
668.11	0.059515
671.41	0.067986
673.99	0.073350
676.57	0.080409
679.42	0.084926
683.70	0.087185
686.91	0.087185
690.47	0.085491
693.86	0.083797
696.35	0.080126
699.47	0.078150
702.77	0.077585
705.71	0.080126
708.47	0.085491
711.50	0.090573
714.88	0.097914
718.00	0.10723
720.85	0.12022
723.34	0.13801
726.46	0.16060
729.67	0.19674
732.43	0.23485
735.37	0.28652
739.29	0.36501
742.94	0.45480
746.98	0.55419
749.98	0.62449
751.78	0.66599
752.74	0.68717
754.61	0.70976
756.40	0.72924
758.00	0.73263
759.43	0.72896
761.56	0.71032
763.43	0.67447
765.04	0.63268
766.91	0.56379
769.58	0.44689
772.08	0.33763
774.46	0.24502
775.91	0.18996
777.46	0.15297
779.11	0.11598
781.16	0.083797
782.50	0.066856
784.19	0.049915
785.71	0.038904
787.49	0.029022
789.45	0.021116
791.50	0.016034
793.90	0.011799
796.66	0.0081282
799.60	0.0053047
802.45	0.0033283
804.50	0.0024813
807.09	0.0020517
810.83	0.0018347
814.04	0.0018347
