Wavelength (nm)	CHL273_BPhe a, Et2O (Smith, 1955).abs
350.18	0.79573
351.62	0.84733
352.75	0.90034
354.95	0.96773
356.39	0.99511
357.50	1.0000
358.70	0.99546
360.16	0.95790
362.15	0.85962
364.15	0.76169
366.37	0.67920
368.25	0.61953
369.70	0.58513
371.14	0.55810
372.47	0.53739
373.35	0.52756
374.57	0.51984
376.68	0.51668
379.23	0.51844
381.74	0.53739
382.94	0.55003
384.00	0.55284
385.00	0.54863
385.89	0.53353
390.21	0.39629
393.53	0.26852
395.73	0.19270
397.09	0.15374
398.31	0.12987
400.19	0.10671
402.30	0.087401
404.29	0.070553
407.07	0.060724
410.61	0.050545
415.83	0.042121
421.59	0.036856
425.92	0.032995
430.69	0.027028
434.90	0.023518
439.89	0.020007
444.10	0.020007
450.54	0.020358
456.86	0.022113
462.73	0.022113
467.17	0.022465
471.16	0.022465
476.15	0.027028
480.03	0.031240
483.14	0.037558
486.24	0.043525
489.79	0.050194
493.45	0.051949
496.45	0.051949
498.88	0.050194
501.44	0.050194
503.21	0.054406
505.65	0.062128
507.42	0.077573
510.75	0.10741
514.30	0.15128
516.85	0.18498
519.73	0.21903
521.51	0.23693
523.39	0.24851
525.28	0.25237
527.64	0.24711
529.84	0.23377
532.15	0.20569
534.48	0.16111
537.14	0.11864
539.14	0.085646
540.47	0.065287
542.13	0.049843
544.13	0.035452
546.01	0.025273
548.79	0.017901
550.45	0.014391
554.00	0.011793
557.55	0.0098282
562.98	0.0094772
570.19	0.010530
579.50	0.011232
587.38	0.012285
594.36	0.014742
602.35	0.018603
608.11	0.023869
612.77	0.028432
618.54	0.030889
625.41	0.030538
630.29	0.030538
635.17	0.029134
639.27	0.029134
644.04	0.031591
647.70	0.034750
653.03	0.041419
657.35	0.049492
661.34	0.060022
664.89	0.070202
668.00	0.078977
671.21	0.085295
674.43	0.089858
677.42	0.092834
681.08	0.092315
684.19	0.090090
687.85	0.086135
690.95	0.081434
694.06	0.078275
697.38	0.076520
700.82	0.077573
703.48	0.080732
706.81	0.088454
709.69	0.097229
712.46	0.10776
715.68	0.12636
718.34	0.14918
720.78	0.17340
724.55	0.21973
727.88	0.26747
732.42	0.34855
735.20	0.40717
738.19	0.46438
741.26	0.51809
743.85	0.55740
746.17	0.57916
747.62	0.58724
749.00	0.58969
750.50	0.58717
751.70	0.57850
752.50	0.56828
754.82	0.53213
757.26	0.48018
760.81	0.37698
764.03	0.28397
767.47	0.18288
769.91	0.12742
771.79	0.093719
773.34	0.072659
775.78	0.050194
777.78	0.037558
780.11	0.027379
783.08	0.018252
786.21	0.012636
790.09	0.0073712
792.86	0.0045631
796.19	0.0031510
799.18	0.0023211
803.06	0.0021060
807.17	0.0021060
