Wavelength (nm)	CHL274_BPhe a, Et2O (Walter, 1979).abs
200.39	0.24511
202.53	0.22489
204.96	0.20287
207.02	0.18285
209.33	0.17084
211.52	0.16283
214.07	0.16083
217.59	0.17084
221.72	0.17985
225.13	0.18785
227.68	0.19886
230.84	0.20587
233.14	0.19986
235.21	0.19286
237.44	0.18607
239.72	0.17634
241.83	0.16592
243.77	0.15341
245.79	0.14298
248.16	0.12838
250.01	0.11518
252.29	0.10267
254.90	0.094326
257.35	0.088765
260.05	0.085290
262.33	0.081119
265.28	0.076949
268.49	0.074864
271.61	0.072779
274.23	0.072084
276.93	0.075559
279.88	0.080424
282.07	0.089460
284.77	0.10058
286.88	0.11170
289.41	0.12004
291.69	0.12491
294.22	0.12769
297.01	0.13186
300.80	0.13881
303.84	0.14924
306.71	0.16383
309.66	0.17843
313.04	0.19094
316.16	0.20067
319.11	0.20971
321.39	0.21457
324.34	0.22500
327.13	0.23890
329.57	0.25280
331.68	0.27226
333.12	0.29033
335.14	0.31744
337.08	0.35220
339.53	0.40016
341.89	0.45576
344.08	0.52040
346.01	0.58018
347.99	0.64969
349.99	0.72684
351.68	0.79704
352.69	0.84778
354.30	0.91520
355.64	0.96038
357.02	0.99374
358.00	1.00000
359.19	0.99235
360.43	0.96316
361.72	0.90478
363.32	0.82971
364.75	0.76020
366.01	0.70182
367.62	0.64204
369.23	0.59477
371.17	0.55238
372.85	0.51693
374.12	0.49469
375.47	0.48148
377.75	0.47244
379.94	0.48565
382.47	0.51484
383.96	0.53222
385.34	0.53778
386.61	0.53152
387.62	0.51345
388.80	0.48078
389.96	0.44116
391.16	0.38903
392.26	0.34525
393.69	0.28964
394.87	0.23959
396.06	0.19720
397.32	0.16175
398.59	0.13186
400.36	0.099886
402.13	0.074864
405.00	0.051231
408.29	0.035245
412.26	0.026209
416.98	0.018563
421.70	0.017868
426.18	0.017173
430.90	0.016478
436.05	0.017173
442.29	0.013698
446.00	0.013003
449.97	0.015783
453.93	0.018563
458.07	0.020648
461.86	0.018563
465.91	0.016478
470.47	0.015088
475.53	0.016478
480.00	0.024819
484.14	0.031770
487.77	0.038720
491.56	0.044281
494.94	0.046366
498.73	0.045498
503.12	0.044281
505.48	0.048451
507.76	0.061657
510.63	0.085985
514.17	0.12908
517.04	0.16870
519.07	0.19581
522.61	0.23334
524.30	0.24585
525.90	0.24851
527.42	0.24446
529.28	0.23125
531.98	0.19789
533.66	0.17148
535.44	0.13603
537.21	0.10545
538.98	0.080424
540.84	0.054012
542.94	0.033855
544.97	0.018563
547.50	0.011022
550.54	0.0081372
554.25	0.0060520
560.16	0.0032717
566.82	0.0034662
573.49	0.0039668
579.06	0.0046619
583.95	0.0056052
588.08	0.0056357
591.20	0.0056052
594.41	0.0059357
598.04	0.0064052
601.50	0.0084953
605.13	0.012642
609.18	0.017868
612.80	0.021120
616.09	0.024124
620.31	0.024819
625.63	0.024258
630.77	0.022734
636.43	0.022039
641.66	0.022039
646.47	0.024124
650.61	0.026209
655.91	0.033160
660.30	0.044281
663.68	0.051231
667.50	0.059572
670.93	0.069998
674.56	0.079729
678.36	0.082510
681.90	0.081119
685.70	0.077644
689.66	0.073474
693.66	0.066523
698.10	0.064438
701.73	0.065133
704.94	0.067913
708.06	0.075559
710.76	0.083900
713.37	0.092240
716.41	0.10475
718.99	0.12143
721.64	0.14229
723.92	0.16522
726.79	0.19928
729.66	0.25002
732.69	0.31258
736.66	0.39390
739.76	0.46688
742.31	0.52527
745.26	0.57879
747.71	0.61563
749.15	0.62953
751.00	0.63439
752.52	0.62953
753.95	0.61702
755.74	0.58921
757.50	0.54056
759.86	0.46410
762.35	0.38069
765.43	0.26601
767.71	0.19511
769.99	0.13255
771.84	0.093631
774.03	0.063048
776.40	0.040110
779.35	0.024124
781.97	0.013698
785.17	0.0071675
788.63	0.0039668
793.19	0.0024272
797.66	0.0014882
801.79	0.0011865
805.67	0.0010865
809.11	0.0010450
811.00	0.0010450
