Wavelength (nm)	CHL276_BPhe a, Et2O (Mizoguchi, 2015).abs
300.99	0.15223
303.82	0.16320
306.65	0.17491
308.56	0.18451
310.73	0.19423
312.89	0.20331
315.39	0.21084
317.97	0.21742
320.71	0.22674
323.79	0.23716
325.87	0.24939
328.20	0.26537
329.95	0.28104
332.61	0.30893
335.10	0.34466
337.02	0.38227
339.27	0.43116
341.76	0.49102
344.26	0.56248
347.17	0.65744
350.40	0.77905
352.83	0.86774
354.20	0.92227
355.15	0.96364
356.20	0.99478
357.00	1.00000
358.00	0.99478
358.99	0.97775
360.48	0.92353
362.90	0.81415
364.98	0.74081
366.56	0.68283
368.39	0.63080
369.95	0.59508
371.14	0.57157
372.47	0.54806
373.46	0.53584
374.46	0.52424
375.63	0.51296
377.04	0.50763
379.29	0.51610
380.29	0.52644
381.29	0.53929
382.37	0.55245
383.37	0.56373
384.00	0.56687
385.00	0.56244
386.11	0.55151
387.28	0.52863
388.28	0.49729
390.77	0.40734
393.55	0.29577
396.85	0.18984
399.20	0.13624
400.92	0.10553
403.59	0.078578
405.83	0.063221
408.74	0.049117
412.66	0.040969
417.65	0.034074
423.56	0.030282
430.05	0.026865
436.45	0.022478
440.95	0.020420
444.40	0.019741
448.27	0.019484
454.26	0.022791
458.34	0.024358
462.75	0.024045
466.99	0.023418
471.23	0.022791
474.81	0.023418
477.64	0.024985
480.14	0.030626
483.46	0.039715
486.46	0.046297
489.54	0.050371
492.53	0.051311
495.03	0.049744
497.94	0.048849
500.85	0.048804
503.10	0.052251
505.76	0.063221
507.93	0.080145
510.51	0.10898
513.50	0.14627
515.58	0.17260
517.50	0.19861
519.24	0.22055
520.91	0.23779
522.65	0.24813
524.00	0.25033
525.90	0.24907
527.65	0.24030
529.40	0.21930
532.14	0.17981
535.97	0.11149
538.88	0.069175
540.96	0.048177
542.46	0.035014
545.12	0.023731
548.03	0.017463
552.19	0.013702
557.27	0.014310
561.93	0.016836
567.00	0.018090
572.58	0.017776
576.74	0.017150
580.82	0.016159
585.73	0.015269
590.55	0.014802
594.46	0.015583
599.54	0.017776
603.53	0.019970
608.44	0.025298
613.02	0.028746
617.26	0.030626
622.09	0.031622
627.41	0.031566
632.24	0.030940
637.06	0.031566
641.06	0.032820
644.64	0.035014
648.63	0.037208
651.96	0.040028
655.04	0.045356
657.95	0.050998
661.61	0.058206
664.69	0.066041
667.93	0.076070
670.43	0.081712
674.09	0.089547
676.92	0.092681
679.92	0.092814
683.49	0.090487
686.16	0.087353
688.57	0.083592
691.40	0.079831
693.89	0.077324
696.97	0.074817
699.39	0.075757
702.13	0.078264
704.88	0.081085
707.29	0.086726
709.95	0.093621
712.62	0.10490
715.53	0.11713
717.77	0.13311
720.19	0.15380
721.85	0.17197
724.43	0.20018
727.59	0.24468
730.67	0.30078
734.83	0.39261
738.16	0.47253
740.82	0.53365
742.40	0.56530
744.35	0.59821
747.00	0.63331
748.70	0.64784
750.00	0.65086
751.40	0.64784
753.20	0.63080
754.89	0.59884
757.05	0.54744
759.96	0.45718
763.46	0.34372
766.62	0.23246
768.90	0.17950
770.65	0.14565
772.77	0.11368
774.52	0.088920
776.69	0.069489
779.35	0.052565
782.34	0.039715
785.26	0.029059
788.75	0.020597
792.99	0.012448
795.99	0.0083742
800.23	0.0054618
804.23	0.0042393
808.89	0.0032199
814.10	0.0027328
818.50	0.0023214
823.20	0.0021060
828.50	0.0021060
835.50	0.0021060
842.42	0.0021060
