Wavelength (nm)	CHL278_BPhe b, DCM (Kunieda, 2004).abs
302.30	0.17463
307.53	0.19470
313.17	0.21326
318.61	0.23735
321.03	0.26243
323.04	0.28702
324.86	0.30057
329.69	0.31160
333.72	0.31863
337.55	0.33067
339.76	0.34522
342.58	0.37884
345.00	0.40944
349.03	0.48471
352.25	0.55094
356.08	0.64978
360.16	0.76066
363.46	0.86603
365.36	0.92423
367.66	0.98093
369.17	0.99699
370.58	1.00000
371.79	0.99598
373.20	0.97692
374.71	0.91922
377.92	0.80984
380.42	0.74662
382.07	0.71049
384.47	0.66935
385.29	0.65329
387.12	0.63372
389.52	0.62720
391.13	0.63523
393.14	0.65279
395.07	0.68942
396.57	0.73156
398.18	0.78274
399.25	0.80565
400.49	0.81987
402.22	0.82739
403.87	0.81937
404.79	0.80524
405.63	0.78676
406.92	0.72755
409.42	0.61466
412.08	0.48220
414.70	0.37884
417.92	0.27548
420.14	0.21376
422.42	0.17848
423.76	0.15882
426.11	0.13374
428.97	0.11450
432.66	0.094852
437.02	0.080218
444.41	0.060566
449.95	0.051786
457.00	0.050113
463.21	0.050531
469.42	0.050531
473.28	0.047604
476.64	0.043423
480.50	0.037570
484.87	0.036315
490.74	0.043841
496.09	0.052622
501.32	0.054712
505.85	0.053458
510.89	0.058346
513.57	0.066420
518.09	0.10656
521.39	0.14586
524.65	0.18642
527.84	0.22530
530.00	0.24203
532.00	0.24550
534.05	0.24203
536.07	0.22823
538.58	0.19729
541.94	0.14712
544.79	0.10154
547.98	0.060984
550.50	0.039242
553.02	0.026280
555.71	0.015409
560.07	0.0087193
567.46	0.0062106
574.84	0.0053743
582.23	0.0055279
589.11	0.0057925
596.50	0.0068211
604.72	0.012482
610.09	0.017082
614.63	0.021725
618.61	0.025718
622.85	0.029207
629.40	0.030880
635.95	0.031301
642.49	0.031716
648.70	0.030880
656.09	0.030461
662.13	0.032552
667.34	0.039660
671.86	0.046350
676.90	0.055967
681.27	0.065583
686.30	0.077291
690.84	0.087744
695.87	0.094852
699.73	0.099033
704.10	0.098197
710.73	0.093179
714.98	0.087326
719.21	0.084399
723.07	0.083123
727.10	0.086071
731.80	0.092343
736.16	0.10405
740.36	0.12203
745.06	0.15130
749.68	0.18266
753.95	0.22781
759.49	0.30057
764.09	0.36621
767.55	0.42182
771.75	0.48203
774.77	0.51841
778.13	0.55938
780.48	0.57736
783.00	0.58154
785.18	0.57611
787.70	0.55729
792.23	0.50252
798.10	0.39297
802.80	0.28217
807.17	0.19478
810.36	0.13959
812.54	0.10698
815.06	0.079381
816.90	0.061402
818.92	0.043841
821.94	0.027953
824.79	0.017918
827.98	0.011646
833.02	0.0062106
839.73	0.0032866
848.46	0.0020294
856.86	0.0020294
