Wavelength (nm)	CHL279_BPhe b, Et2O (Oelze, 1985).abs
351.52	0.57749
354.53	0.65662
356.67	0.71467
359.56	0.79207
361.95	0.86253
364.00	0.92260
365.15	0.95206
365.95	0.97401
367.54	0.99608
369.00	1.0000
370.35	0.99516
371.75	0.97343
374.39	0.89113
376.90	0.81171
378.29	0.76348
379.79	0.71063
380.67	0.69243
382.31	0.67106
384.32	0.64940
385.57	0.64594
386.96	0.65200
388.84	0.66384
390.22	0.69359
391.86	0.72911
393.10	0.76319
394.25	0.79294
395.25	0.81459
396.48	0.83192
398.00	0.83584
399.15	0.83163
400.10	0.81835
402.54	0.74586
406.56	0.58876
410.08	0.46631
413.22	0.34964
417.12	0.24336
418.75	0.21333
421.77	0.18242
424.53	0.15614
428.65	0.13217
432.20	0.11947
436.47	0.10474
439.55	0.093523
444.64	0.087700
449.41	0.087988
452.93	0.091165
457.33	0.094342
460.35	0.092609
463.87	0.088277
466.63	0.082790
468.89	0.075282
472.41	0.066329
475.80	0.061708
478.95	0.061708
482.84	0.064596
486.23	0.067773
488.75	0.070083
492.52	0.069217
495.53	0.066040
497.92	0.061997
500.69	0.057665
503.20	0.054488
506.47	0.057376
508.73	0.063441
511.75	0.082213
514.13	0.11225
517.02	0.14979
520.79	0.19946
523.06	0.22892
524.56	0.24451
525.69	0.25145
527.33	0.25462
529.09	0.25202
530.60	0.24105
533.23	0.20437
536.13	0.14661
539.02	0.094053
540.77	0.057665
542.28	0.036583
544.04	0.021566
546.05	0.013480
549.20	0.0071261
552.59	0.0033718
558.37	0.0023522
566.54	0.0027942
580.11	0.0045269
594.56	0.0059709
605.24	0.0071261
611.27	0.0082813
614.54	0.0094364
618.56	0.014924
623.21	0.019255
627.99	0.024454
631.51	0.027053
636.79	0.025609
640.18	0.024454
644.07	0.022432
647.72	0.021855
651.74	0.022143
656.14	0.022432
658.90	0.024165
663.30	0.029074
668.08	0.036872
672.10	0.044669
676.87	0.054200
679.14	0.059687
682.40	0.067773
687.05	0.077881
691.95	0.082501
695.85	0.081924
699.62	0.079902
703.39	0.076437
707.91	0.070950
711.31	0.067484
715.20	0.065751
719.22	0.068062
722.62	0.073260
726.76	0.081635
729.28	0.088855
732.04	0.10503
734.81	0.12235
738.45	0.14170
741.09	0.16048
744.23	0.17723
746.75	0.19369
749.76	0.22430
752.02	0.25751
757.05	0.34328
763.59	0.46920
768.11	0.55901
769.78	0.59338
772.01	0.62890
774.64	0.66124
775.78	0.67080
777.50	0.67351
778.79	0.66962
780.42	0.65460
783.25	0.60753
786.05	0.53677
789.10	0.43396
792.11	0.33693
795.51	0.22950
797.95	0.16510
800.53	0.11600
802.92	0.082790
804.93	0.058243
807.44	0.038605
809.83	0.023876
812.20	0.013480
814.70	0.0082813
818.75	0.0042382
823.28	0.0030830
828.18	0.0025054
833.46	0.0022166
838.86	0.0019278
842.38	0.0019278
847.41	0.0019278
