Wavelength (nm)	CHL282_BPhe g, Et2O (Michalski, 1987).abs
352.95	0.74074
354.85	0.78505
357.43	0.85069
359.67	0.90320
361.30	0.94012
362.96	0.97211
364.15	0.99181
364.89	0.99850
366.00	1.0000
366.98	0.99780
368.23	0.98794
369.42	0.97129
371.40	0.93191
373.76	0.88268
376.35	0.82853
378.38	0.78341
379.57	0.76536
381.15	0.74649
383.34	0.73664
385.37	0.74731
386.55	0.76864
389.06	0.82607
390.90	0.86874
392.04	0.89007
393.54	0.89827
395.16	0.88761
396.57	0.86053
398.28	0.79572
400.92	0.68085
403.42	0.57583
406.19	0.43717
408.17	0.34774
409.75	0.27062
411.39	0.20991
413.04	0.17709
415.94	0.14509
419.37	0.11965
423.46	0.092579
427.41	0.069606
431.76	0.053197
435.84	0.039249
439.14	0.028384
443.09	0.024481
446.02	0.030224
449.46	0.044855
451.77	0.052376
454.62	0.053744
457.15	0.051009
459.46	0.039386
462.20	0.029130
464.84	0.017507
467.80	0.0099857
470.55	0.0093020
473.74	0.014772
476.37	0.022976
479.12	0.031865
481.64	0.041437
484.83	0.051009
487.33	0.054807
489.64	0.053060
492.03	0.041437
494.16	0.033232
496.58	0.027339
499.44	0.026395
502.84	0.032548
505.70	0.045148
508.44	0.071520
511.19	0.11665
514.04	0.17886
516.57	0.24860
518.11	0.29305
519.42	0.32723
520.86	0.35185
522.06	0.35526
523.25	0.34979
524.59	0.32723
526.12	0.27800
527.44	0.22604
528.98	0.17476
530.96	0.12553
532.55	0.090665
534.69	0.055111
537.22	0.024344
539.41	0.011353
542.16	0.0058834
545.78	0.0042245
551.27	0.0038322
559.62	0.0033636
565.99	0.0031485
573.13	0.0028200
583.45	0.0025679
593.78	0.0031043
599.71	0.0045160
604.76	0.012721
609.48	0.020925
614.21	0.027762
618.71	0.033195
623.43	0.035617
628.70	0.034120
634.74	0.031181
639.91	0.029130
644.85	0.028446
648.69	0.031865
652.54	0.038018
655.72	0.048958
658.36	0.063316
660.11	0.074255
664.18	0.10024
667.91	0.12075
671.54	0.14058
674.03	0.15357
676.70	0.16109
679.33	0.16245
682.08	0.16109
684.59	0.15630
687.24	0.14399
689.33	0.12964
691.75	0.11254
693.94	0.098869
696.58	0.090303
700.31	0.088613
703.94	0.091348
708.11	0.096818
712.17	0.10467
715.25	0.11378
718.43	0.13032
721.62	0.14605
725.13	0.16109
728.32	0.17545
731.17	0.19254
733.42	0.20895
735.35	0.24040
736.77	0.26365
738.94	0.29988
741.59	0.35663
744.24	0.42911
746.11	0.49884
748.69	0.58636
750.62	0.63696
752.13	0.65268
754.00	0.65542
755.71	0.65200
757.61	0.63490
758.85	0.60687
760.44	0.55764
762.47	0.47218
764.89	0.38193
767.31	0.28484
769.39	0.21715
770.86	0.17271
772.58	0.14126
774.67	0.11186
777.41	0.085878
780.05	0.063999
782.79	0.046907
786.11	0.030497
789.27	0.022976
793.23	0.017507
797.73	0.014088
802.23	0.011199
806.63	0.0088327
811.68	0.0067120
815.52	0.0053931
819.59	0.0045182
822.61	0.0042937
825.10	0.0039978
