Wavelength (nm)	CHL283_BPhe g, DCM (Kunieda, 2004).abs
301.30	0.13956
306.92	0.15670
311.31	0.18057
315.71	0.21055
318.15	0.23503
320.35	0.25401
322.30	0.27053
325.47	0.28644
329.38	0.29562
332.07	0.30358
336.46	0.31704
338.90	0.33785
341.10	0.36478
344.28	0.41251
346.96	0.46637
349.65	0.52389
352.58	0.58509
355.56	0.63956
357.50	0.67872
359.66	0.73197
361.37	0.78093
362.83	0.83111
364.30	0.88435
365.52	0.93086
367.15	0.97921
368.14	0.99329
369.64	1.0000
371.14	0.99020
372.60	0.97125
374.55	0.92903
376.94	0.87028
378.22	0.84151
379.44	0.82071
380.68	0.79867
382.12	0.77297
383.59	0.75155
385.30	0.72401
387.01	0.70932
389.45	0.70382
391.62	0.71116
392.78	0.73263
393.46	0.75515
393.96	0.77173
394.64	0.79298
395.92	0.81593
397.17	0.82418
398.62	0.83038
400.07	0.82070
401.71	0.78958
402.81	0.74708
403.63	0.71521
404.99	0.64083
406.85	0.55456
407.87	0.49804
408.89	0.44364
409.71	0.39476
410.92	0.34291
412.28	0.29022
413.46	0.25112
414.65	0.22987
415.67	0.21117
417.19	0.18864
418.89	0.16739
421.77	0.14614
423.64	0.13283
426.18	0.11937
428.58	0.10768
431.27	0.095640
434.38	0.083953
437.91	0.072620
440.59	0.063058
442.71	0.057391
446.11	0.053495
448.51	0.055620
450.34	0.059516
452.61	0.062349
454.73	0.065891
456.99	0.066245
459.81	0.061995
462.50	0.058099
464.47	0.052079
466.45	0.046412
468.43	0.042870
470.55	0.040037
474.08	0.041100
477.19	0.043933
479.59	0.049954
481.86	0.056329
483.69	0.063412
485.25	0.069078
486.66	0.074391
489.06	0.076870
492.17	0.072266
494.01	0.068370
495.14	0.062703
496.83	0.056683
498.39	0.051724
500.65	0.047829
503.33	0.046058
505.88	0.050308
507.86	0.058453
509.41	0.069432
510.82	0.080057
512.24	0.095640
513.22	0.11193
514.36	0.12964
515.20	0.14628
515.91	0.16576
516.76	0.18347
517.61	0.20260
518.17	0.22101
518.81	0.23766
519.71	0.24935
521.00	0.25324
522.45	0.24899
523.50	0.23766
524.81	0.21889
526.00	0.20012
527.64	0.16895
528.91	0.13956
530.18	0.11760
531.31	0.095994
532.49	0.077224
534.00	0.062349
535.27	0.049245
536.54	0.040037
537.67	0.032246
540.21	0.024808
543.89	0.020204
548.13	0.016663
552.51	0.015246
557.03	0.015954
560.99	0.018079
564.52	0.020204
568.62	0.020913
573.70	0.022329
578.65	0.024100
582.46	0.024454
588.26	0.025517
593.34	0.030121
597.30	0.035433
600.69	0.039329
603.94	0.042870
607.47	0.046766
610.58	0.049954
613.69	0.051370
617.37	0.052787
622.03	0.052787
626.69	0.053495
631.50	0.053849
636.44	0.053849
640.96	0.053849
644.78	0.055620
648.03	0.060224
651.00	0.065537
653.96	0.072266
656.37	0.079349
659.05	0.088203
661.45	0.097057
663.57	0.10591
666.40	0.11406
669.08	0.12220
671.91	0.12681
674.88	0.12999
678.55	0.13212
682.51	0.12929
685.76	0.12610
688.72	0.12043
691.69	0.11512
694.94	0.10981
697.77	0.10485
700.45	0.10060
703.28	0.098119
705.82	0.098119
709.21	0.10237
712.18	0.10874
714.44	0.11370
716.70	0.12185
719.10	0.13176
721.65	0.14274
723.63	0.15585
725.62	0.16966
727.02	0.18028
729.14	0.19551
730.41	0.20933
732.39	0.22987
734.22	0.24687
735.78	0.26245
737.05	0.27662
739.31	0.30070
740.30	0.31239
741.85	0.32832
743.41	0.33859
745.25	0.34922
747.37	0.35736
748.64	0.36197
751.00	0.36516
752.84	0.36287
755.00	0.35701
757.40	0.34638
759.38	0.33541
760.74	0.32407
762.63	0.30743
764.46	0.28795
765.73	0.27059
767.71	0.24616
769.68	0.21960
771.39	0.19480
773.37	0.16895
775.72	0.14026
778.31	0.10981
780.15	0.091744
782.72	0.073682
784.81	0.061641
787.07	0.048537
788.76	0.038975
791.31	0.030475
793.57	0.022329
796.40	0.014538
799.65	0.010288
804.17	0.0067463
808.83	0.0053296
814.34	0.0042672
820.98	0.0036104
827.48	0.0032047
835.11	0.0028505
841.05	0.0028505
846.70	0.0024964
849.21	0.0024964
