Wavelength (nm)	CHL285_BChllide a ME, Et2O (Isenring, 1975).abs
300.55	0.21822
302.88	0.22155
305.23	0.22009
307.76	0.21697
310.40	0.21530
312.59	0.21697
315.12	0.22072
317.42	0.22634
319.50	0.23510
322.27	0.25021
324.78	0.26584
327.75	0.28616
331.38	0.31378
334.55	0.34452
337.78	0.37891
340.75	0.42163
343.39	0.45967
346.09	0.51021
348.60	0.56440
351.17	0.62641
353.48	0.68424
355.32	0.72124
356.30	0.73843
357.84	0.75406
359.00	0.75823
360.28	0.75458
361.47	0.74521
362.66	0.73114
364.10	0.70769
366.88	0.64360
369.19	0.59306
371.56	0.54512
374.20	0.51438
376.60	0.49510
378.70	0.48468
380.93	0.47582
383.24	0.46905
385.15	0.46801
387.07	0.47322
388.59	0.47999
389.64	0.48677
390.83	0.49719
392.00	0.49979
392.87	0.49771
394.06	0.48989
395.10	0.47061
398.09	0.39402
400.25	0.32316
402.64	0.24187
404.16	0.18872
405.85	0.14860
407.59	0.11369
409.50	0.088683
411.61	0.074614
414.32	0.061067
417.62	0.051167
420.78	0.046478
425.14	0.041788
429.76	0.037620
434.97	0.033451
440.38	0.029804
445.59	0.026157
451.33	0.021988
460.77	0.016257
467.76	0.013652
477.07	0.013130
491.84	0.012417
505.50	0.012609
512.89	0.014694
518.96	0.017299
525.03	0.021525
531.63	0.025636
537.64	0.030846
542.78	0.036578
548.06	0.046999
552.35	0.057941
556.24	0.073051
559.41	0.088162
562.51	0.10640
565.61	0.12776
568.98	0.14756
571.68	0.16111
573.73	0.17101
576.23	0.17935
578.41	0.18299
580.00	0.18456
582.50	0.18143
585.47	0.17361
588.84	0.16215
592.14	0.14912
594.91	0.13349
597.88	0.11421
600.32	0.094414
602.76	0.073572
605.33	0.055336
608.37	0.038662
611.34	0.026751
614.70	0.021467
618.46	0.019904
624.80	0.019383
635.88	0.021199
646.24	0.022509
652.71	0.024594
658.45	0.027288
662.80	0.030846
667.68	0.036578
672.90	0.046999
678.31	0.057941
683.78	0.070967
688.40	0.082951
692.16	0.097541
694.47	0.10379
697.70	0.10692
701.79	0.10952
707.27	0.11161
711.43	0.11213
715.39	0.11321
718.03	0.11483
720.86	0.11942
723.11	0.12568
725.48	0.13454
727.40	0.14027
729.51	0.15277
732.01	0.17101
734.32	0.18820
736.37	0.20852
738.72	0.23666
740.86	0.26688
742.97	0.30231
744.35	0.34139
747.19	0.41069
749.70	0.48416
752.86	0.58837
756.76	0.72541
760.25	0.84473
762.03	0.89996
763.35	0.94060
765.33	0.97603
766.75	0.99687
768.00	1.00000
769.25	0.99479
770.41	0.97864
772.39	0.93695
775.23	0.83326
779.19	0.67017
783.15	0.45238
786.91	0.28408
788.56	0.21738
790.41	0.16215
791.86	0.12568
793.57	0.094935
795.16	0.075135
797.66	0.052730
799.91	0.038662
802.55	0.025636
804.50	0.019383
806.77	0.013130
808.70	0.0094831
811.26	0.0058358
812.88	0.0047937
815.20	0.0034875
818.14	0.0029358
821.30	0.0027321
825.00	0.0027540
