Wavelength (nm)	CHL288_Zn Bphe a, C6H6 (Kobayashi, 1998).abs
308.67	0.32944
310.53	0.31789
312.93	0.30431
314.70	0.29379
316.64	0.28937
318.50	0.28734
321.07	0.28937
323.73	0.29481
325.86	0.30363
327.98	0.31586
330.37	0.33487
332.83	0.35626
335.60	0.38954
338.08	0.42994
341.35	0.48596
344.19	0.53859
347.14	0.59155
349.33	0.62653
351.89	0.66693
353.84	0.68323
355.00	0.68628
356.32	0.68255
357.74	0.67134
359.33	0.64282
361.37	0.59087
363.50	0.54029
365.71	0.49071
366.95	0.46491
368.10	0.44692
368.99	0.43198
370.31	0.41839
372.00	0.40651
374.21	0.39938
376.34	0.39633
378.64	0.39429
381.47	0.39531
384.31	0.39938
386.61	0.40719
388.82	0.42145
390.24	0.43503
391.92	0.45031
393.96	0.46491
395.47	0.46729
397.06	0.46355
398.39	0.44827
399.94	0.41160
401.67	0.35796
403.79	0.28734
405.56	0.23233
407.69	0.17767
409.08	0.14541
410.43	0.12199
412.21	0.099579
414.86	0.079547
417.43	0.065626
419.82	0.055101
423.63	0.046273
427.26	0.040840
432.13	0.036427
438.60	0.032230
445.24	0.028278
451.88	0.025901
458.35	0.023864
464.37	0.021827
470.75	0.020129
476.06	0.018979
482.79	0.016734
489.26	0.016055
494.66	0.015715
498.82	0.016055
502.54	0.017753
507.24	0.022845
511.66	0.027938
515.47	0.033371
519.63	0.036766
524.42	0.042878
528.14	0.050687
531.24	0.058835
534.25	0.071398
537.44	0.088714
540.98	0.11248
544.34	0.13930
547.27	0.16613
550.01	0.18684
552.40	0.20144
554.79	0.20925
556.92	0.21128
558.96	0.20925
561.44	0.20144
563.56	0.18752
565.86	0.16816
569.23	0.13964
572.51	0.10942
575.16	0.085318
578.26	0.064947
581.36	0.048310
583.84	0.037106
586.23	0.029636
589.07	0.022166
592.08	0.015376
595.45	0.011302
599.08	0.0092643
603.06	0.0089248
607.76	0.0089248
611.03	0.0089248
614.49	0.0085853
619.36	0.0096039
624.58	0.010962
629.37	0.012999
633.79	0.015715
638.58	0.017413
643.18	0.019450
647.88	0.020129
653.01	0.021827
658.15	0.022845
663.29	0.025222
667.80	0.028278
672.05	0.035068
675.95	0.040501
679.76	0.048989
683.39	0.058835
686.67	0.067663
690.03	0.076830
693.04	0.085658
695.79	0.093467
698.71	0.10162
701.90	0.10467
704.38	0.10671
707.30	0.10773
710.58	0.10807
713.50	0.10739
716.78	0.10739
720.23	0.10909
723.95	0.11656
727.05	0.12572
730.24	0.13659
732.99	0.15526
736.09	0.17495
738.65	0.20076
741.49	0.22724
743.88	0.25916
746.89	0.30330
749.37	0.35117
752.47	0.42485
756.10	0.54096
759.82	0.65946
763.45	0.76471
766.37	0.84993
768.94	0.91512
770.71	0.95621
772.84	0.98608
774.26	0.99797
775.50	1.0000
776.74	0.99763
777.89	0.98710
779.57	0.95417
781.78	0.88185
783.56	0.80138
786.21	0.67304
788.25	0.56948
791.46	0.39021
793.30	0.30431
794.80	0.23641
796.84	0.17665
798.52	0.13387
800.12	0.10196
801.45	0.081584
802.86	0.065626
804.19	0.052384
805.70	0.041859
807.65	0.031334
809.77	0.023185
812.07	0.016055
814.38	0.011302
816.68	0.0079062
819.07	0.0055295
821.55	0.0034924
824.56	0.0024738
827.40	0.0020301
830.32	0.0017418
833.75	0.0017418
