Wavelength (nm)	CHL291_Ni Bphe a, Et2O (Hartwich, 1998).abs
301.02	0.24676
303.34	0.25832
305.83	0.27166
307.96	0.28500
310.27	0.30101
312.23	0.31702
314.36	0.33658
316.50	0.36015
318.28	0.38282
320.23	0.41173
322.37	0.44596
324.50	0.48109
326.64	0.52734
328.77	0.57002
330.10	0.60248
331.26	0.63272
332.33	0.65495
333.58	0.66740
335.00	0.67007
336.24	0.66651
337.84	0.65184
339.45	0.62116
341.05	0.57313
342.65	0.52467
344.43	0.47442
346.03	0.43485
347.09	0.41351
348.16	0.39083
349.41	0.37126
350.47	0.35704
352.08	0.34414
353.68	0.33169
355.28	0.32235
356.52	0.31390
358.48	0.30723
360.79	0.30234
362.93	0.30234
365.59	0.30723
368.26	0.31479
370.58	0.32680
372.89	0.34147
375.73	0.36059
377.51	0.37793
379.83	0.39661
381.96	0.41706
384.09	0.43841
385.87	0.45619
386.76	0.46420
387.65	0.47175
389.79	0.47864
391.57	0.47175
392.95	0.45975
394.59	0.43574
396.01	0.40728
398.15	0.34948
399.93	0.30279
401.35	0.27255
402.59	0.24187
403.95	0.21608
405.45	0.19385
407.22	0.17384
409.00	0.15205
410.42	0.13649
412.02	0.12271
413.44	0.11159
415.22	0.10181
417.36	0.089801
419.67	0.081353
422.34	0.073349
425.54	0.064901
428.57	0.056453
431.41	0.049783
434.61	0.043558
437.46	0.038667
441.19	0.034220
444.75	0.031108
448.84	0.027995
453.29	0.025772
459.16	0.024883
466.10	0.023993
472.15	0.023993
477.31	0.024438
481.75	0.024883
485.67	0.027550
489.40	0.030218
492.96	0.035109
495.63	0.039556
498.47	0.045336
501.00	0.053340
503.81	0.062678
505.77	0.072015
507.90	0.081798
510.04	0.092469
512.35	0.10270
514.30	0.11292
517.70	0.12893
520.00	0.13782
522.31	0.14316
525.33	0.14583
527.82	0.14316
530.08	0.13784
532.63	0.12893
534.94	0.11781
537.07	0.10759
539.52	0.095137
542.23	0.083132
545.75	0.068013
548.60	0.057787
552.00	0.048004
554.51	0.042224
557.35	0.035999
560.38	0.031255
564.29	0.025327
568.56	0.019547
573.01	0.015990
576.92	0.013766
581.54	0.011543
586.17	0.010037
590.97	0.0088752
596.66	0.0079859
601.82	0.0066519
609.12	0.0062073
615.88	0.0066519
621.75	0.0066519
626.73	0.0075412
631.53	0.0088752
636.69	0.010654
641.85	0.013766
646.65	0.016434
650.74	0.019991
655.19	0.022659
659.28	0.027106
663.73	0.028884
668.17	0.031552
671.91	0.033776
675.11	0.037333
678.49	0.040890
680.98	0.045781
683.65	0.051117
686.32	0.058231
688.81	0.063122
691.30	0.069347
693.79	0.075573
696.99	0.085355
700.55	0.093803
704.28	0.10136
708.02	0.10848
711.58	0.11559
714.25	0.12137
717.09	0.12893
720.47	0.13604
723.32	0.14449
725.63	0.15383
728.12	0.16584
731.14	0.18095
733.10	0.19518
736.13	0.21252
738.44	0.23253
740.93	0.24943
743.06	0.27166
745.38	0.29612
747.51	0.32547
749.64	0.35748
752.31	0.40950
754.63	0.45530
756.35	0.49932
759.25	0.56824
761.56	0.64028
763.88	0.70653
765.65	0.76211
768.32	0.82836
770.28	0.88350
772.06	0.92707
773.66	0.95731
775.97	0.98666
777.22	0.99644
779.00	1.00000
780.77	0.99644
781.84	0.98710
783.44	0.95953
785.75	0.91151
787.71	0.85104
789.12	0.80124
790.56	0.75099
792.28	0.68430
794.12	0.62205
796.07	0.55757
797.65	0.50911
799.99	0.45086
801.94	0.39839
803.72	0.35748
805.68	0.32013
807.63	0.28233
809.45	0.25743
811.50	0.22542
814.04	0.19607
816.35	0.17073
818.31	0.15072
820.44	0.13071
822.75	0.11426
825.07	0.098250
828.09	0.083132
831.83	0.067569
835.38	0.054674
839.48	0.043558
843.74	0.035109
849.08	0.027995
854.24	0.022215
860.64	0.016434
866.69	0.012432
872.03	0.0093198
877.72	0.0057626
883.24	0.0035394
888.39	0.0030948
893.37	0.0022055
897.47	0.0026501
