Wavelength (nm)	CHL293_Ni Bphe a, Tol (Musewald, 1999).abs
299.03	0.26952
304.34	0.27966
307.96	0.29190
311.47	0.30973
314.18	0.32686
316.90	0.34889
319.61	0.37652
323.12	0.42408
325.38	0.46114
327.30	0.49681
329.34	0.53982
331.71	0.59577
333.65	0.63249
335.00	0.65382
336.65	0.66955
338.00	0.67445
339.21	0.66955
340.21	0.65557
342.31	0.61640
344.84	0.56290
346.62	0.52478
348.68	0.48597
350.72	0.46009
352.75	0.44471
356.15	0.43422
359.20	0.42897
361.58	0.42093
363.61	0.40939
366.78	0.39191
369.38	0.38176
371.53	0.37932
374.24	0.38141
377.07	0.38946
378.99	0.39785
380.92	0.40799
382.95	0.42443
385.78	0.45345
388.72	0.48107
390.64	0.49751
392.23	0.50101
393.81	0.49646
395.51	0.48107
398.79	0.42478
401.73	0.35379
403.77	0.29609
406.25	0.23874
408.29	0.20133
410.33	0.16846
412.47	0.14153
414.85	0.11985
417.45	0.10202
420.39	0.085583
423.67	0.075093
427.07	0.065302
431.36	0.055511
436.34	0.047468
442.11	0.041174
448.90	0.037677
456.70	0.035579
463.83	0.034180
471.07	0.033481
477.97	0.033481
482.38	0.034880
486.79	0.038726
491.65	0.043622
495.84	0.048517
499.34	0.054112
502.74	0.061106
505.56	0.069848
508.17	0.078590
511.56	0.096424
514.05	0.11146
516.54	0.12790
519.82	0.14748
522.18	0.16216
524.94	0.17545
527.51	0.18342
529.54	0.18559
531.81	0.18349
534.18	0.17650
537.01	0.16321
539.84	0.14678
542.89	0.12790
546.17	0.10936
549.11	0.092577
551.60	0.080688
554.54	0.069148
558.05	0.057609
561.78	0.048167
565.96	0.041174
570.38	0.035579
575.58	0.029984
580.56	0.026837
585.87	0.024739
591.53	0.022641
599.17	0.019843
602.17	0.018845
607.14	0.018095
614.49	0.016696
620.48	0.017046
630.55	0.018095
639.03	0.019144
647.40	0.020193
654.30	0.023690
660.07	0.026837
665.05	0.030334
669.57	0.035579
674.44	0.040824
679.98	0.047118
685.52	0.055511
690.27	0.064253
695.14	0.073694
699.66	0.085234
704.86	0.099221
711.65	0.11496
719.00	0.13384
724.77	0.14643
729.29	0.16146
732.12	0.17545
735.18	0.19154
737.78	0.20832
741.62	0.23839
745.81	0.27721
751.92	0.34155
758.36	0.42512
764.13	0.52234
769.79	0.64438
773.97	0.74543
777.48	0.84334
780.76	0.92062
782.46	0.95419
784.72	0.98252
786.50	0.99825
788.00	1.0000
789.51	0.99686
790.60	0.98392
792.41	0.95839
794.33	0.91678
797.61	0.81957
802.48	0.65836
806.77	0.53178
809.60	0.45415
813.11	0.38316
816.73	0.31987
819.78	0.27057
824.08	0.21357
827.47	0.17265
830.98	0.14153
834.71	0.11496
837.31	0.098522
840.37	0.084534
843.54	0.072645
847.61	0.061106
852.36	0.049916
857.33	0.041873
862.76	0.035229
868.42	0.030334
874.19	0.025438
879.50	0.022246
885.16	0.019494
890.25	0.017046
894.21	0.016035
898.28	0.015647
