Wavelength (nm)	CHL298_3-Vinyl-13(2)-OH BChl a, Et2O (Struck, 1990).abs
300.53	0.21287
305.58	0.23173
309.37	0.25201
313.36	0.27498
317.15	0.30482
320.31	0.32773
324.30	0.36430
327.88	0.41014
331.04	0.45804
334.40	0.51985
337.14	0.57291
339.70	0.62802
341.50	0.69292
343.66	0.80314
345.13	0.88195
346.76	0.94337
348.00	0.98152
349.32	0.99672
350.54	1.0000
351.51	0.99672
352.60	0.98301
353.82	0.94069
355.65	0.88298
357.97	0.81036
360.49	0.73928
362.39	0.70786
363.44	0.69189
365.19	0.68159
367.12	0.67729
369.53	0.67599
372.38	0.67515
374.48	0.67343
376.24	0.66871
378.69	0.66613
381.15	0.67257
383.53	0.69448
384.87	0.71325
386.10	0.72428
387.55	0.72867
388.68	0.72458
389.99	0.71206
391.45	0.67152
393.27	0.59671
395.47	0.49268
398.02	0.40087
400.00	0.32576
403.14	0.24677
404.96	0.21040
406.91	0.18566
409.35	0.16390
412.27	0.14929
415.80	0.13499
420.91	0.12038
426.27	0.10573
431.87	0.089680
437.72	0.076266
444.90	0.061506
451.11	0.054805
457.69	0.048545
464.38	0.044372
470.71	0.041110
477.05	0.039160
482.77	0.037871
488.61	0.035430
495.19	0.033343
499.81	0.032747
504.81	0.036026
510.04	0.044074
513.70	0.052420
516.98	0.056891
520.51	0.060170
524.05	0.060170
528.06	0.062555
531.35	0.067324
534.76	0.075372
537.20	0.083718
539.39	0.095343
542.55	0.13141
544.75	0.16718
546.81	0.20653
548.28	0.23693
549.61	0.25869
551.68	0.29356
553.39	0.30757
554.36	0.30996
555.82	0.30668
557.41	0.29446
559.72	0.26137
561.32	0.22858
563.86	0.18447
566.10	0.14661
568.37	0.12157
570.68	0.099516
573.24	0.081334
575.92	0.067324
579.08	0.056593
582.37	0.047651
586.39	0.040199
591.38	0.035430
596.49	0.033343
602.58	0.036026
608.06	0.039901
614.63	0.044670
621.58	0.049141
628.88	0.054507
635.70	0.058978
641.54	0.063747
645.68	0.068814
649.34	0.075670
652.75	0.085805
655.91	0.098026
659.20	0.11114
662.36	0.12575
665.65	0.13916
669.31	0.15168
673.15	0.16211
676.98	0.17076
680.87	0.17523
684.77	0.17731
688.54	0.17612
691.47	0.17254
694.51	0.17046
697.68	0.17076
700.35	0.17404
702.91	0.17910
705.10	0.18715
707.54	0.19758
710.58	0.21547
713.50	0.24021
716.30	0.27061
718.50	0.30877
723.25	0.40534
728.48	0.55527
732.69	0.68880
735.20	0.77121
737.32	0.82735
739.85	0.88401
742.16	0.91131
743.63	0.91646
745.53	0.91183
747.42	0.88710
750.37	0.81860
753.73	0.70270
756.05	0.60021
758.36	0.48071
760.68	0.37460
762.78	0.30043
765.73	0.21029
768.67	0.14900
771.20	0.10882
773.93	0.078434
777.51	0.054740
781.09	0.038258
785.55	0.027441
791.61	0.019715
797.92	0.013019
804.86	0.0084993
812.44	0.0058083
820.01	0.0038426
827.37	0.0027178
835.37	0.0019854
843.15	0.0016877
849.89	0.0016877
