Wavelength (nm)	CHL300_3-Vinyl Bphebide a, Et2O (Pudek, 1975).abs
320.65	0.76962
322.87	0.75779
324.24	0.75312
326.12	0.75063
328.52	0.75655
332.96	0.79079
338.61	0.83593
342.20	0.87485
344.42	0.90505
346.99	0.94365
348.70	0.96669
350.07	0.98474
351.78	0.99595
354.00	1.00000
356.57	0.99657
358.28	0.98585
360.00	0.96637
363.41	0.92902
366.66	0.89944
369.06	0.87796
371.11	0.86395
372.82	0.85555
375.04	0.85181
377.44	0.85461
378.46	0.85928
380.00	0.86146
381.71	0.85804
383.59	0.84496
387.70	0.77491
390.78	0.71390
393.34	0.65194
394.37	0.63233
397.11	0.61708
403.61	0.59311
407.71	0.57878
409.76	0.56509
414.55	0.52679
420.71	0.44959
426.01	0.34872
428.58	0.29860
431.49	0.26249
433.20	0.24256
435.76	0.22388
439.70	0.20583
445.51	0.18684
449.79	0.17718
453.72	0.17002
456.29	0.16598
460.39	0.16131
464.67	0.15944
468.26	0.16224
471.34	0.17002
474.25	0.17999
476.98	0.19244
479.38	0.19555
481.95	0.19306
484.17	0.18621
485.54	0.18092
488.27	0.17687
492.21	0.18123
495.29	0.18995
498.02	0.20396
499.91	0.22233
501.79	0.26249
504.20	0.31852
506.65	0.37985
508.63	0.42188
509.82	0.43713
511.54	0.44087
512.73	0.43651
514.44	0.42406
517.01	0.36896
519.58	0.25190
521.11	0.18684
523.55	0.13920
525.82	0.11586
528.75	0.096242
532.75	0.080676
536.17	0.067601
539.42	0.054526
543.35	0.044875
547.28	0.039271
551.90	0.036158
556.35	0.037403
559.43	0.038960
562.85	0.038026
566.95	0.034601
572.09	0.031177
575.51	0.029620
579.61	0.032422
585.26	0.038337
591.76	0.047365
597.57	0.058884
601.68	0.067290
604.58	0.072582
608.86	0.074450
613.48	0.073205
616.73	0.068846
621.01	0.066667
625.79	0.068535
629.90	0.073827
634.18	0.083790
638.79	0.099978
643.69	0.12457
648.20	0.15882
653.67	0.19929
657.10	0.23447
660.87	0.26902
662.75	0.28272
664.79	0.29206
666.85	0.29455
669.41	0.29175
671.46	0.28023
674.88	0.24194
678.48	0.20458
682.07	0.16722
683.61	0.15384
686.17	0.14294
689.59	0.13920
693.19	0.14512
695.58	0.15695
699.00	0.18341
703.70	0.23291
708.75	0.31230
712.00	0.37736
714.52	0.42032
716.50	0.44554
719.87	0.47449
722.78	0.48663
725.00	0.49130
727.22	0.48757
728.98	0.47761
732.01	0.45301
735.26	0.39978
738.51	0.32724
742.28	0.23540
745.36	0.16349
747.95	0.11554
750.32	0.086903
752.71	0.061686
755.96	0.041450
759.89	0.025885
764.85	0.010941
769.99	0.0044036
774.60	0.0028468
777.34	0.0025357
