Wavelength (nm)	CHL301_3-(CH3)(OH)CH Bphebide a, Et2O (Richards, 1969).abs
318.93	0.48519
321.77	0.47179
324.62	0.46057
327.46	0.45441
330.10	0.45840
331.52	0.48301
334.28	0.55940
338.50	0.69299
342.00	0.81102
343.91	0.87546
345.73	0.94207
347.15	0.98406
348.37	0.99710
350.00	1.00000
351.25	0.99565
352.80	0.97647
355.68	0.92071
359.35	0.84324
361.35	0.79979
363.25	0.77047
365.02	0.76649
368.47	0.77264
370.91	0.77988
372.54	0.78640
375.00	0.79038
376.72	0.78640
377.68	0.76826
378.65	0.74736
381.47	0.67308
386.14	0.56013
389.19	0.47831
390.81	0.44681
393.45	0.42255
402.38	0.37766
410.71	0.33168
415.00	0.30888
418.63	0.26362
421.47	0.18180
423.30	0.13836
424.92	0.11700
427.16	0.10722
430.61	0.098534
435.07	0.089845
439.74	0.081880
443.60	0.075001
447.87	0.063778
452.13	0.053641
456.39	0.046039
460.25	0.042056
465.13	0.045459
469.39	0.054003
474.43	0.065166
478.66	0.075122
480.69	0.080553
482.72	0.082664
484.92	0.080251
487.46	0.071200
490.34	0.066373
492.71	0.072407
494.57	0.084776
495.90	0.095336
497.95	0.13637
499.98	0.18886
502.18	0.25765
503.27	0.28118
504.38	0.30139
505.40	0.31949
507.09	0.32402
508.78	0.31889
509.96	0.30019
514.36	0.21028
516.56	0.14904
519.61	0.089603
521.13	0.062149
522.66	0.047064
524.69	0.038617
528.92	0.034393
533.99	0.031980
540.08	0.029264
547.19	0.028058
553.45	0.029868
559.71	0.031678
567.16	0.036505
574.94	0.043444
581.88	0.052193
587.46	0.059132
593.21	0.067881
597.28	0.072407
602.52	0.076027
607.26	0.074820
611.32	0.070597
615.72	0.065468
618.76	0.064563
621.98	0.071200
627.56	0.091715
634.16	0.11736
639.58	0.13908
644.48	0.15779
648.38	0.17347
650.91	0.18041
653.79	0.18494
656.50	0.18162
660.05	0.16895
665.47	0.14964
670.88	0.13063
675.62	0.11826
679.51	0.11555
682.89	0.11887
686.28	0.12822
689.15	0.14240
693.89	0.19218
698.12	0.25071
701.84	0.30351
705.06	0.34846
707.09	0.38225
708.61	0.40276
709.97	0.41393
712.00	0.41966
713.69	0.41453
715.38	0.39975
718.43	0.32372
722.66	0.23080
724.85	0.17046
726.00	0.14361
727.40	0.12279
730.10	0.097146
734.67	0.070295
739.07	0.044651
743.47	0.020214
747.53	0.0075424
749.56	0.0042237
