Wavelength (nm)	CHL304_BChl e6 DME, Et2O (Nichiporovich, 2006).abs
301.55	0.15337
304.77	0.16448
308.50	0.17613
312.36	0.18371
315.19	0.19265
319.70	0.20782
323.43	0.22272
326.01	0.23491
328.84	0.25550
330.64	0.27393
332.70	0.29750
334.85	0.33082
337.98	0.38175
340.69	0.43892
342.87	0.49419
345.15	0.56110
347.12	0.63290
348.41	0.68898
350.03	0.76484
350.85	0.81848
351.76	0.86643
352.53	0.90165
353.23	0.93931
353.82	0.96451
354.33	0.98347
355.17	0.99539
356.00	1.00000
356.86	0.99349
357.81	0.96640
358.70	0.92576
360.00	0.86101
360.80	0.81983
361.80	0.77053
363.67	0.69196
365.52	0.63615
367.21	0.60499
369.01	0.58386
370.43	0.57221
372.87	0.55948
374.03	0.55569
375.70	0.55352
377.64	0.55894
378.79	0.56761
380.21	0.59172
381.50	0.62423
382.53	0.65213
383.30	0.67001
384.97	0.68600
386.75	0.69075
387.83	0.67787
388.58	0.65864
390.25	0.60310
391.54	0.53753
392.70	0.48768
394.33	0.41995
396.05	0.35520
397.33	0.30427
399.14	0.25957
400.94	0.22706
402.23	0.20755
404.80	0.17992
408.28	0.14009
411.24	0.11327
415.23	0.087534
420.76	0.067215
425.79	0.050959
429.91	0.042290
434.41	0.035788
441.88	0.026306
448.83	0.020887
455.14	0.020074
460.93	0.021429
467.24	0.023055
475.09	0.028473
479.99	0.034704
483.72	0.039852
491.06	0.047708
496.34	0.057191
499.30	0.068298
502.60	0.086450
506.00	0.11977
509.86	0.16122
513.07	0.20105
515.52	0.22543
517.58	0.23464
519.90	0.23681
521.70	0.23410
523.76	0.21568
525.07	0.19699
529.02	0.14524
532.32	0.097558
534.83	0.072633
537.53	0.055023
540.11	0.043374
544.10	0.030099
546.55	0.023325
550.02	0.017636
554.79	0.011134
561.22	0.0059865
565.34	0.0046319
571.14	0.0033002
576.16	0.0030064
580.54	0.0027614
586.46	0.0027355
592.25	0.0024646
596.89	0.0024646
600.88	0.0027355
605.77	0.0040901
610.92	0.0067993
615.04	0.0095085
621.99	0.013030
627.01	0.014656
631.00	0.015198
635.25	0.014656
639.50	0.014114
644.39	0.012489
648.13	0.012489
653.02	0.014114
659.33	0.018380
663.45	0.024138
666.92	0.029015
670.91	0.035517
674.13	0.041748
678.75	0.050147
681.99	0.055565
685.59	0.058390
690.10	0.057362
694.09	0.055271
697.31	0.053433
701.04	0.050418
704.64	0.050689
707.61	0.053398
710.95	0.056920
714.94	0.060713
717.91	0.065589
721.90	0.074259
725.11	0.083470
728.46	0.097016
730.78	0.11536
735.03	0.15635
739.15	0.21405
742.75	0.27582
745.84	0.33868
749.17	0.41128
751.97	0.47143
754.85	0.52616
756.66	0.55298
758.33	0.57064
760.00	0.57492
761.55	0.57059
762.58	0.55758
765.03	0.51234
767.33	0.44759
769.45	0.38040
771.33	0.30725
773.39	0.23790
774.81	0.19319
776.10	0.15391
777.64	0.11977
779.57	0.086179
781.25	0.062880
783.31	0.045270
785.88	0.029557
788.20	0.020074
791.55	0.012760
795.54	0.0067993
800.04	0.0040901
804.81	0.0027900
808.41	0.0017731
810.75	0.0015961
813.25	0.0013921
815.75	0.0013921
